TOOL,Tool,TOOL_ID,Tool (#1),TOOL (#1),TOOL (#2),Tool (#2),Tool (#3),Tool (#4),OPERATION_ID,TOOL (#3),encoder
3,0,0,3,2,2,0,1,3,0,1,26
4,0,0,3,2,2,0,1,3,0,1,27
2,0,0,3,2,2,0,1,3,0,1,28
3,0,0,3,2,2,0,1,3,0,1,26
3,0,0,3,2,2,0,1,3,0,1,26
3,1,0,3,1,1,0,1,1,1,1,29
2,1,0,3,1,1,0,1,1,1,1,30
4,1,0,3,1,1,0,1,1,1,1,31
2,1,0,3,1,3,0,1,3,0,1,32
4,1,0,3,1,3,0,1,3,0,1,33
3,1,0,3,1,3,0,1,3,0,1,34
3,1,0,3,1,1,0,1,1,0,1,9
2,1,0,3,1,1,0,1,1,0,1,10
4,1,0,3,1,1,0,1,1,0,1,14
4,1,0,3,1,1,0,1,1,0,1,14
3,1,0,3,1,1,0,1,1,0,1,9
2,1,0,3,1,1,0,1,1,0,1,10
3,1,0,3,1,1,0,1,1,0,2,35
2,1,0,3,1,1,0,1,1,0,2,24
3,1,0,3,1,1,0,1,1,0,2,35
2,0,0,3,1,1,0,1,3,0,1,36
4,1,0,3,2,1,0,1,1,0,1,1
3,1,0,3,2,1,0,1,1,0,1,16
3,1,0,3,2,2,1,1,1,0,1,37
2,1,0,3,2,2,1,1,1,0,1,38
3,1,0,3,2,2,1,1,1,0,1,37
2,1,0,3,2,2,1,1,1,0,1,38
3,1,0,3,2,2,1,1,1,0,1,37
2,1,0,3,2,2,1,1,1,0,1,38
3,1,0,3,2,2,1,1,1,1,1,39
2,1,0,3,2,2,1,1,1,1,1,40
3,1,0,3,2,2,1,1,1,1,1,39
4,1,0,3,1,2,0,1,4,0,2,41
4,1,0,3,1,2,0,1,4,0,2,41
3,1,0,3,1,1,1,1,1,0,1,42
4,1,0,3,1,1,1,1,1,0,1,43
4,1,0,3,1,2,0,1,3,0,1,18
3,1,0,3,1,2,0,1,3,0,1,44
3,1,0,3,1,1,1,1,1,0,1,42
3,1,0,3,1,1,1,1,1,0,1,42
4,1,0,3,1,1,1,1,1,0,1,43
2,1,0,3,1,1,1,1,1,0,1,45
4,1,0,3,1,2,0,1,1,0,1,46
2,1,0,3,1,2,0,1,1,0,1,47
2,1,0,3,1,2,0,1,1,0,1,47
3,1,0,3,1,2,0,1,1,0,1,48
3,1,0,3,1,1,0,1,1,0,2,35
3,1,0,3,1,1,0,1,1,0,2,35
4,1,1,3,1,2,0,1,3,0,1,49
4,1,1,3,1,2,0,1,3,0,1,49
4,1,1,3,1,2,0,1,3,0,1,49
4,1,1,3,1,2,0,1,3,0,1,49
4,1,1,3,1,2,0,1,3,0,1,49
4,1,1,3,1,2,0,1,3,0,1,49
4,1,0,3,2,3,0,1,3,0,2,50
4,1,0,3,2,3,0,1,3,0,2,50
4,1,0,3,2,2,0,1,4,0,2,51
4,1,0,3,2,1,0,1,1,0,1,1
2,1,0,3,2,1,0,1,1,0,1,2
3,1,0,3,2,1,0,1,1,0,1,16
4,1,0,3,2,1,0,1,1,0,1,1
3,1,0,3,2,1,0,1,1,0,1,16
3,1,0,3,2,1,0,1,1,0,1,16
3,1,0,3,2,1,0,1,1,0,1,16
2,1,0,3,1,1,0,1,3,0,1,52
4,1,0,3,1,1,0,1,3,0,1,53
2,1,0,3,1,1,0,1,3,0,1,52
3,1,0,3,1,1,0,1,3,0,1,54
2,1,0,3,1,1,0,1,3,0,1,52
2,1,0,3,1,1,0,1,3,0,1,52
2,1,0,3,1,1,0,1,3,0,1,52
2,1,0,3,1,1,0,1,3,0,1,52
2,1,0,3,1,1,0,1,3,0,1,52
2,1,0,3,2,0,0,0,1,0,1,55
3,1,0,3,2,0,0,0,1,0,1,56
2,1,0,3,2,0,0,0,1,0,1,55
4,1,0,3,2,0,0,0,1,0,1,57
3,1,0,3,1,1,0,1,3,0,1,54
3,1,0,3,1,1,0,1,3,0,1,54
3,1,0,3,1,1,0,1,3,0,1,54
3,1,0,3,1,1,0,1,3,0,1,54
2,1,0,3,1,1,0,1,3,0,1,52
4,1,0,3,2,2,1,1,3,0,1,58
4,1,0,3,2,2,1,1,3,0,1,58
4,1,0,3,2,2,1,1,3,0,1,58
3,1,0,3,2,2,1,1,3,0,1,59
3,0,0,3,1,2,0,1,1,0,3,60
2,0,0,3,1,2,0,1,1,0,3,61
3,0,0,3,1,2,0,1,1,0,3,60
2,0,1,3,2,2,0,1,3,0,3,62
4,0,1,3,2,2,0,1,3,0,3,63
4,0,1,3,2,2,0,1,3,0,3,63
3,0,1,3,2,2,0,1,3,0,3,64
2,0,1,3,2,2,0,1,3,0,3,62
4,0,1,3,2,2,0,1,3,0,3,63
2,0,1,3,2,2,0,1,3,0,3,62
3,0,1,3,2,2,0,1,3,0,3,64
3,1,0,3,2,1,0,1,3,0,1,65
2,1,0,3,1,1,0,1,3,0,1,52
4,1,0,3,1,1,0,1,3,0,1,53
3,1,0,3,1,1,0,1,3,0,1,54
2,0,0,3,2,0,0,0,1,0,1,66
2,0,0,3,2,0,0,0,1,0,1,66
4,0,0,3,2,0,0,0,1,0,1,67
2,0,0,3,2,0,0,0,1,0,1,66
4,0,0,3,2,0,0,0,1,0,1,67
4,0,0,3,2,0,0,0,1,0,1,67
3,1,0,3,2,2,0,1,1,0,1,68
4,1,0,0,1,3,0,1,3,0,0,69
3,1,0,0,1,3,0,1,3,0,0,70
4,1,0,0,2,2,0,1,3,0,1,71
3,1,0,0,2,2,0,1,3,0,1,72
4,1,0,0,2,2,0,1,3,0,1,71
3,1,0,0,2,2,0,1,3,0,1,72
2,1,0,0,2,2,0,1,3,0,1,73
2,1,0,0,2,2,0,1,3,0,1,73
3,0,1,3,2,1,0,1,3,0,1,74
4,0,1,3,2,1,0,1,3,0,1,75
4,0,1,3,2,1,0,1,3,0,1,75
2,1,0,3,1,2,0,1,3,0,1,17
4,1,0,3,1,2,0,1,3,0,1,18
3,1,0,3,1,2,0,1,3,0,1,44
2,0,0,3,2,2,0,1,3,0,3,76
4,0,0,3,2,2,0,1,3,0,3,77
3,1,0,3,2,2,0,1,3,0,1,78
2,1,0,3,2,2,0,1,3,0,1,79
3,1,0,3,2,2,0,1,3,0,1,78
3,1,1,0,2,3,0,1,1,0,0,80
2,1,1,0,2,3,0,1,1,0,0,81
4,1,1,0,2,3,0,1,1,0,0,82
4,0,0,3,1,1,0,1,3,1,3,83
4,0,0,3,1,1,0,1,3,1,3,83
4,0,0,3,1,1,0,1,3,1,3,83
4,0,0,3,1,1,0,1,3,1,3,83
4,0,0,3,1,1,0,1,3,1,3,83
4,0,0,3,1,1,0,1,3,1,3,83
4,0,0,3,1,1,0,1,3,1,3,83
4,0,1,3,1,2,0,1,3,0,1,84
4,0,1,3,1,2,0,1,3,0,1,84
4,0,1,3,1,2,0,1,3,0,1,84
4,0,1,3,1,2,0,1,3,0,1,84
3,0,1,3,1,2,0,1,3,0,1,85
3,0,1,3,1,2,0,1,3,0,1,85
3,0,1,3,2,2,0,1,3,0,1,86
4,0,1,3,2,2,0,1,3,0,1,87
2,1,0,3,2,1,0,1,3,0,1,88
4,1,0,3,2,1,0,1,3,0,1,89
3,1,0,3,2,1,0,1,3,0,1,65
4,0,0,3,2,2,0,1,3,0,1,27
4,0,0,3,2,2,0,1,3,0,1,27
4,0,0,3,2,2,0,1,3,0,1,27
4,0,0,3,2,2,0,1,3,0,1,27
4,0,0,3,2,2,0,1,3,0,1,27
4,0,0,3,2,2,0,1,3,0,1,27
3,0,1,3,0,2,0,1,3,0,1,90
2,0,1,3,0,2,0,1,3,0,1,91
2,0,1,3,0,2,0,1,3,0,1,91
3,0,1,3,0,2,0,1,3,0,1,90
4,1,0,3,1,1,0,1,3,0,1,53
3,1,0,3,1,1,0,1,3,0,1,54
2,1,0,3,1,1,0,1,3,0,1,52
4,1,0,3,1,1,0,1,3,0,1,53
4,1,0,3,2,1,0,1,3,0,3,92
3,1,0,3,2,1,0,1,3,0,3,93
4,1,0,3,2,1,0,1,3,0,3,92
3,1,0,3,2,1,0,1,3,0,3,93
3,1,0,3,2,1,0,1,3,0,3,93
2,1,0,3,2,1,0,1,3,0,3,94
4,1,1,0,2,1,0,1,3,0,0,95
4,1,0,3,0,2,0,1,3,0,1,96
4,0,0,3,2,3,0,1,3,0,1,97
4,0,0,3,2,1,0,1,1,0,3,98
4,0,0,3,2,1,0,1,1,0,3,98
4,0,0,3,2,1,0,1,1,0,3,98
4,0,0,3,2,1,0,1,1,0,3,98
4,0,0,3,2,2,0,1,3,0,3,77
3,1,0,3,2,2,0,1,3,0,1,78
3,1,0,3,2,2,0,1,3,0,1,78
3,1,0,3,2,2,0,1,3,0,1,78
4,0,0,0,2,1,0,0,2,0,1,99
3,0,1,0,2,1,0,0,2,0,1,100
2,0,1,0,1,3,0,1,3,0,1,101
2,0,0,0,1,3,0,1,3,0,1,102
4,0,1,0,1,3,0,1,3,0,1,103
4,0,0,0,1,3,0,1,3,0,1,104
3,0,1,0,1,3,0,1,3,0,1,105
3,0,0,0,1,3,0,1,3,0,1,106
2,0,0,3,2,1,0,1,3,0,3,107
3,0,0,3,2,1,0,1,3,0,3,108
2,0,0,3,2,1,0,1,3,0,3,107
3,0,0,3,2,1,0,1,3,0,3,108
2,0,1,3,0,2,0,1,3,0,1,91
4,0,1,3,0,2,0,1,3,0,1,109
4,0,0,3,2,2,0,1,3,0,1,27
4,0,0,3,2,2,0,1,3,0,1,27
4,1,0,3,2,3,1,1,3,0,0,110
3,1,0,3,2,3,1,1,3,0,0,111
2,1,0,3,2,3,1,1,3,0,0,112
3,1,0,3,2,3,1,1,3,0,0,111
4,0,0,3,2,2,0,1,3,0,1,27
3,0,0,3,2,2,0,1,3,0,1,26
2,0,0,3,2,2,0,1,3,0,1,28
4,0,0,3,0,2,0,1,3,0,3,113
3,0,0,3,0,2,0,1,3,0,3,114
4,0,0,3,0,2,0,1,3,0,3,113
3,0,0,3,0,2,0,1,3,0,3,114
3,0,0,3,0,2,0,1,3,0,3,114
4,0,0,3,0,2,0,1,3,0,3,113
4,0,1,3,2,1,0,1,3,0,1,75
3,0,1,3,2,1,0,1,3,0,1,74
2,0,1,3,2,1,0,1,3,0,1,115
4,0,0,0,1,2,0,0,1,0,1,116
2,0,0,0,1,2,0,0,1,0,1,117
4,0,0,0,1,2,0,0,1,0,1,116
4,0,1,3,0,2,0,1,3,0,1,109
2,0,1,3,0,2,0,1,3,0,1,91
4,0,1,3,0,2,0,1,3,0,1,109
2,0,1,3,0,2,0,1,3,0,1,91
2,0,1,3,1,3,0,1,3,0,1,118
4,0,1,3,1,3,0,1,3,0,1,119
3,0,1,3,1,3,0,1,3,0,1,120
2,1,1,0,1,1,0,1,1,1,0,121
4,1,1,0,1,1,0,1,1,1,0,122
4,1,1,0,1,1,0,1,1,1,0,122
2,1,1,0,1,1,0,1,1,1,0,121
2,1,1,0,1,1,0,1,1,1,0,121
4,1,1,0,1,1,0,1,1,1,0,122
4,0,1,3,2,3,0,1,3,0,1,123
4,0,1,3,2,3,0,1,3,0,1,123
4,0,1,3,2,3,0,1,3,0,1,123
4,1,1,0,1,1,0,1,2,0,0,124
2,1,1,0,1,1,0,1,2,0,0,125
4,1,1,0,1,1,0,1,2,0,0,124
2,1,1,0,1,1,0,1,2,0,0,125
2,1,1,0,1,1,0,1,2,0,0,125
2,1,1,0,1,1,0,1,2,0,0,125
2,1,1,0,1,1,0,1,2,0,0,125
4,1,1,0,1,1,0,1,2,0,0,124
2,1,1,0,1,1,0,1,2,0,0,125
4,1,0,3,1,1,0,1,3,0,0,126
3,1,0,3,1,1,0,1,3,0,0,127
2,1,0,3,1,1,0,1,3,0,0,128
3,1,0,3,1,1,0,1,3,0,0,127
2,1,0,3,1,1,0,1,3,0,0,128
3,1,0,3,1,1,0,1,3,0,0,127
2,1,0,3,1,1,0,1,3,0,0,128
3,1,0,3,1,1,0,1,3,0,0,127
4,1,1,0,0,3,0,0,3,0,0,129
2,1,1,0,0,3,0,0,3,0,0,130
4,1,1,0,0,3,0,0,3,0,0,129
4,1,0,2,1,1,0,1,0,0,0,131
3,1,0,2,1,1,0,1,0,0,0,132
4,1,0,2,1,1,0,1,0,0,0,131
2,1,0,2,1,1,0,1,0,0,0,133
4,1,0,2,1,1,0,1,0,0,0,131
3,1,0,2,1,1,0,1,0,0,0,132
4,1,0,3,1,3,1,1,1,0,0,134
3,1,0,3,1,3,1,1,1,0,0,135
4,1,0,3,1,3,1,1,1,0,0,134
2,1,0,3,2,1,0,1,3,0,0,136
3,1,0,3,2,1,0,1,3,0,0,137
3,1,0,3,2,1,0,1,3,0,0,137
2,1,0,3,2,1,0,1,3,0,0,136
3,1,0,3,2,1,0,1,3,0,0,137
3,1,0,3,2,1,0,1,3,0,0,137
3,1,0,3,2,1,0,1,3,0,0,137
3,1,0,3,2,1,0,1,3,0,0,137
4,1,0,3,2,3,0,1,3,0,0,138
3,1,0,3,2,3,0,1,3,0,0,139
3,1,0,3,2,3,0,1,3,0,0,139
2,1,0,3,2,3,0,1,3,0,0,140
3,1,0,3,2,3,0,1,3,0,0,139
2,1,0,3,2,3,0,1,3,0,0,140
2,1,0,3,2,3,0,1,3,0,0,140
2,1,1,0,0,3,0,1,3,0,4,141
2,1,1,0,0,3,0,1,3,0,4,141
2,1,1,0,0,3,0,1,3,0,4,141
4,1,1,0,2,3,0,1,3,0,0,142
2,1,0,0,1,1,0,1,3,0,0,143
3,1,0,0,1,1,0,1,3,0,0,144
2,1,0,0,1,1,0,1,3,0,0,143
4,1,0,3,2,1,0,1,3,0,0,145
3,1,0,3,1,1,1,1,3,0,0,146
4,1,0,3,1,1,1,1,3,0,0,147
3,1,0,3,1,1,1,1,3,0,0,146
4,1,0,3,1,1,1,1,3,0,0,147
3,1,1,3,2,1,0,1,3,0,0,148
3,1,1,3,2,1,0,1,3,0,0,148
4,1,1,3,2,1,0,1,3,0,0,149
3,1,1,3,2,1,0,1,3,0,0,148
3,1,1,3,2,1,0,1,3,0,0,148
3,1,0,0,2,3,0,0,0,0,0,150
2,1,0,0,2,3,0,0,0,0,0,151
4,1,0,0,2,3,0,0,0,0,0,152
3,1,0,0,2,3,0,0,0,0,0,150
4,1,0,0,2,3,0,0,0,0,0,152
2,1,0,0,2,3,0,0,0,0,0,151
0,1,1,0,2,1,0,1,1,0,1,153
0,1,1,0,2,1,0,1,1,0,1,153
0,1,1,0,2,1,0,1,1,0,1,153
2,1,1,0,1,2,0,1,1,1,1,154
4,1,1,0,1,2,0,1,1,1,1,155
2,1,1,0,1,2,0,1,1,1,1,154
4,1,1,0,1,2,0,1,1,1,1,155
4,1,1,0,1,2,0,1,1,1,1,155
4,1,1,0,2,1,0,1,1,0,1,156
2,1,1,0,2,1,0,1,1,0,1,157
4,1,1,0,2,1,0,1,1,0,1,156
2,1,1,0,2,1,0,1,1,0,1,157
4,1,1,0,1,3,0,1,1,0,0,158
4,1,1,0,1,3,0,1,1,0,0,158
4,1,1,0,1,3,0,1,1,0,0,158
4,1,1,0,1,2,0,1,1,1,1,155
2,1,1,0,1,2,0,1,1,1,1,154
4,1,1,0,2,2,0,1,1,0,1,159
4,1,1,0,2,2,0,1,1,1,1,160
2,1,1,0,2,2,0,1,1,0,1,161
2,1,1,0,2,2,0,1,1,1,1,162
4,1,1,0,1,2,0,1,1,1,1,155
2,1,1,0,1,2,0,1,1,1,1,154
4,1,1,0,1,2,0,1,1,1,1,155
4,1,1,0,1,2,0,1,1,1,1,155
4,1,1,0,1,2,0,1,1,1,1,155
2,1,1,0,1,2,0,1,1,1,1,154
4,1,1,3,2,3,0,1,1,0,0,163
4,1,1,3,2,3,0,1,1,0,0,163
4,1,1,3,2,3,0,1,1,0,0,163
4,1,1,3,2,3,0,1,1,0,0,163
4,1,1,3,2,3,0,1,1,0,0,163
4,1,1,3,2,3,0,1,1,0,0,163
0,1,1,3,2,3,0,0,3,0,0,164
0,1,1,3,2,3,0,0,3,0,0,164
0,1,1,3,2,3,0,0,3,0,0,164
0,1,1,3,2,3,0,0,3,0,0,164
0,1,1,3,2,3,0,0,3,0,0,164
0,1,1,3,2,3,0,0,3,0,0,164
0,1,1,3,2,3,0,0,3,0,0,164
0,1,1,3,2,3,0,0,3,0,0,164
4,1,1,3,2,3,0,1,3,0,0,165
4,1,1,3,2,3,0,1,3,0,0,165
2,1,1,3,2,3,0,1,3,0,0,166
4,1,1,3,2,3,0,1,3,0,0,165
4,1,1,3,2,3,0,1,3,0,0,165
4,1,1,3,2,3,0,1,3,0,0,165
4,1,1,3,2,3,0,1,3,0,0,165
2,1,1,3,2,3,0,1,3,0,0,166
4,0,1,0,2,4,0,1,2,0,1,167
2,0,1,0,2,4,0,1,2,0,1,168
4,0,1,0,2,4,0,1,2,0,1,167
4,0,1,0,2,4,0,1,2,0,1,167
4,0,1,0,2,4,0,1,2,0,1,167
2,0,1,0,2,4,0,1,2,0,1,168
0,1,0,1,1,2,0,1,2,0,2,169
0,1,0,1,1,2,0,1,2,0,2,169
0,1,0,1,1,2,0,1,2,0,2,169
4,1,1,3,2,3,0,0,0,0,0,170
2,1,1,3,2,3,0,0,0,0,0,171
4,1,1,3,2,3,0,0,0,0,0,170
4,1,1,3,2,3,0,0,0,0,0,170
2,1,1,3,2,3,0,0,0,0,0,171
2,1,1,3,2,3,0,0,0,0,0,171
2,1,0,3,2,2,0,1,4,0,1,172
2,1,0,3,2,2,0,1,4,0,1,172
4,1,0,3,2,2,0,1,4,0,1,173
2,1,0,3,2,2,0,1,4,0,1,172
2,1,0,3,2,2,0,1,4,0,1,172
0,1,1,0,0,2,0,1,1,0,1,174
0,1,1,0,0,2,0,1,1,0,1,174
0,1,1,0,0,2,0,1,1,0,1,174
0,1,1,0,0,2,0,1,1,0,1,174
4,1,1,0,2,3,0,0,1,0,1,175
2,1,1,0,2,3,0,0,1,0,1,176
4,1,1,0,2,3,0,0,1,0,1,175
4,0,1,1,1,1,0,1,2,0,1,177
4,0,0,1,1,1,0,1,2,0,1,178
4,0,1,1,1,1,0,1,2,0,1,177
4,0,0,1,1,1,0,1,2,0,1,178
4,0,1,1,1,1,0,1,2,0,1,177
4,0,0,1,1,1,0,1,2,0,1,178
4,0,1,1,1,1,0,1,2,0,1,177
4,0,0,1,1,1,0,1,2,0,1,178
4,1,0,0,2,3,0,1,1,0,1,179
2,1,0,0,2,3,0,1,1,0,1,180
4,1,0,0,2,3,0,1,1,0,1,179
0,1,0,1,2,1,0,1,2,0,1,181
0,1,0,1,2,1,0,1,2,0,1,181
0,1,0,1,2,1,0,1,2,0,1,181
0,1,0,1,2,1,0,1,2,0,1,181
0,1,0,1,2,1,0,1,2,0,1,181
0,1,0,1,2,1,0,1,2,0,1,181
0,1,0,1,2,1,0,1,2,0,1,181
0,1,0,1,2,1,0,1,2,0,1,181
0,1,0,1,2,1,0,1,2,0,1,181
0,1,1,3,2,1,0,0,1,0,1,182
0,1,1,3,2,1,0,0,1,0,1,182
0,1,1,3,2,1,0,0,1,0,1,182
0,1,1,3,2,1,0,0,1,0,1,182
0,1,1,3,2,1,0,0,1,0,1,182
0,1,1,3,2,1,0,0,1,0,1,182
0,1,1,3,2,1,0,0,1,0,1,182
0,1,1,3,2,1,0,0,1,0,1,182
0,1,1,3,2,1,0,0,1,0,1,182
0,1,1,0,2,1,0,1,1,0,1,153
0,1,1,0,2,1,0,1,1,0,1,153
4,1,1,3,1,3,0,1,3,0,0,183
4,1,0,3,1,3,0,1,3,0,0,184
2,1,0,3,1,3,0,1,3,0,0,185
4,1,1,3,1,3,0,1,3,0,0,183
4,1,0,3,1,3,0,1,3,0,0,184
4,1,1,3,1,3,0,1,3,0,0,183
4,1,0,3,1,3,0,1,3,0,0,184
4,1,1,3,1,3,0,1,3,0,0,183
2,1,0,0,2,3,0,1,1,0,1,180
4,1,0,0,2,3,0,1,1,0,1,179
2,1,0,0,2,3,0,1,1,0,1,180
0,1,1,0,1,1,0,1,1,1,1,186
0,1,1,0,1,1,0,1,1,1,1,186
0,1,1,0,1,1,0,1,1,1,1,186
0,1,1,0,1,1,0,1,1,1,1,186
0,1,1,0,1,1,0,1,1,1,1,186
0,1,1,0,1,1,0,1,1,1,1,186
0,1,1,0,1,1,0,1,1,1,1,186
0,1,1,0,1,1,0,1,1,1,1,186
0,1,1,0,1,1,0,1,1,1,1,186
0,1,1,0,1,1,0,1,1,1,1,186
0,1,1,0,1,1,0,1,1,1,1,186
0,1,1,0,1,1,0,1,1,1,1,186
0,1,1,0,1,1,0,1,1,0,1,187
0,1,1,0,1,1,0,1,1,0,1,187
0,1,1,0,1,1,0,1,1,0,1,187
0,1,1,0,1,1,0,1,1,0,1,187
0,1,1,0,1,1,0,1,1,0,1,187
0,1,1,0,1,1,0,1,1,0,1,187
2,1,1,0,2,1,0,1,1,0,1,157
2,1,1,0,2,1,0,1,1,0,1,157
2,1,1,0,2,1,0,1,1,0,1,157
2,1,1,0,2,1,0,1,1,0,1,157
4,1,1,0,2,1,0,1,1,0,1,156
2,1,1,0,2,1,0,1,1,0,1,157
2,1,1,0,0,1,0,1,1,1,1,188
4,1,1,0,0,1,0,1,1,1,1,189
4,1,1,0,0,1,0,1,1,1,1,189
2,1,1,0,0,1,0,1,1,1,1,188
4,1,1,0,0,1,0,1,1,1,1,189
4,1,1,0,0,1,0,1,1,1,1,189
0,1,1,0,2,2,0,1,1,0,1,190
0,1,1,0,2,2,0,1,1,0,1,190
0,1,1,0,2,2,0,1,1,0,1,190
4,0,0,3,1,1,0,0,2,0,1,191
4,0,0,3,1,1,0,0,2,0,1,191
4,0,0,3,1,1,0,0,2,0,1,191
4,0,0,3,1,1,0,0,2,0,1,191
4,0,0,3,1,1,0,0,2,0,1,191
4,1,1,0,1,1,0,0,3,0,1,192
0,0,1,0,2,1,0,0,1,0,1,193
0,0,1,0,2,1,0,0,1,0,1,193
0,0,1,0,2,1,0,0,1,0,1,193
0,0,1,0,2,1,0,0,1,0,1,193
0,0,1,0,2,1,0,0,1,0,1,193
0,0,1,0,2,1,0,0,1,0,1,193
0,0,1,0,2,2,0,1,3,1,1,194
0,0,1,0,2,2,0,1,3,1,1,194
0,0,1,0,2,2,0,1,3,1,1,194
0,0,1,0,2,2,0,1,3,1,1,194
