TOOL,Tool,TOOL_ID,Tool (#1),TOOL (#1),TOOL (#2),Tool (#2),Tool (#3),Tool (#4),OPERATION_ID,TOOL (#3),encoder_test
4,1,0,3,1,3,0,1,3,0,1,33.0
4,1,0,3,1,3,0,1,3,0,1,33.0
5,1,0,3,2,3,0,1,3,0,1,
4,1,0,3,2,3,0,1,3,0,1,
5,1,0,3,2,3,0,1,3,0,1,
4,1,0,3,2,3,0,1,3,0,1,
5,1,0,3,2,3,0,1,3,0,1,
5,1,0,3,2,3,0,1,3,0,1,
4,1,0,3,2,3,0,1,3,0,1,
5,1,0,3,2,3,0,1,3,0,1,
4,1,0,3,2,3,0,1,3,0,1,
5,1,0,3,1,3,0,1,3,0,1,
4,1,0,3,1,3,0,1,3,0,1,33.0
5,1,0,3,1,3,0,1,3,0,1,
4,1,0,3,1,3,0,1,3,0,1,33.0
5,1,0,3,1,3,0,1,3,0,1,
5,1,0,3,1,3,0,1,3,0,1,
4,1,0,3,1,3,0,1,3,0,1,33.0
5,1,0,3,1,3,0,1,3,0,1,
5,1,0,3,1,3,0,1,3,0,1,
5,1,0,3,2,3,0,1,3,0,1,
4,1,0,3,2,3,0,1,3,0,1,
4,1,0,3,2,3,0,1,3,0,1,
5,1,0,3,2,3,0,1,3,0,1,
5,1,0,3,2,3,0,1,3,0,1,
4,0,0,3,2,3,0,1,3,0,1,97.0
2,0,0,3,2,3,0,1,3,0,1,
4,0,0,3,2,3,0,1,3,0,1,97.0
4,0,0,3,2,3,0,1,3,0,1,97.0
5,0,0,3,2,3,0,1,3,0,1,
2,0,0,3,2,3,0,1,3,0,1,
4,0,0,3,2,3,0,1,3,0,1,97.0
2,0,0,3,2,3,0,1,3,0,1,
5,0,0,3,2,3,0,1,3,0,1,
4,0,0,3,1,3,0,1,3,0,1,
3,0,0,3,1,3,0,1,3,0,1,
2,0,0,3,1,3,0,1,3,0,1,
4,0,0,3,1,3,0,1,3,0,1,
3,0,0,3,1,3,0,1,3,0,1,
2,0,0,3,1,3,0,1,3,0,1,
4,0,0,3,1,3,0,1,3,0,1,
3,0,0,3,1,3,0,1,3,0,1,
2,0,0,3,1,3,0,1,3,0,1,
4,0,0,3,1,3,0,1,3,0,1,
3,0,0,3,1,3,0,1,3,0,1,
2,0,0,3,1,3,0,1,3,0,1,
4,0,0,3,1,3,0,1,3,0,1,
2,0,0,3,2,3,0,1,3,0,1,
2,0,0,3,2,3,0,1,3,0,1,
2,0,0,3,2,3,0,1,3,0,1,
2,0,0,3,2,3,0,1,3,0,1,
2,0,0,3,2,3,0,1,3,0,1,
2,0,0,3,2,3,0,1,3,0,1,
2,0,0,3,2,3,0,1,3,0,1,
2,0,0,3,2,3,0,1,3,0,1,
2,0,0,3,2,3,0,1,3,0,1,
2,1,0,3,1,2,0,1,3,0,1,17.0
2,1,0,3,1,2,0,1,3,0,1,17.0
2,1,0,3,1,2,0,1,3,0,1,17.0
5,1,0,3,1,3,0,1,3,0,1,
5,1,0,3,0,3,0,1,1,0,1,
4,1,0,3,0,3,0,1,1,0,1,
4,1,0,3,0,3,0,1,1,0,1,
5,1,0,3,0,3,0,1,1,0,1,
4,1,0,3,0,3,0,1,1,0,1,
5,0,0,3,1,3,0,1,3,0,1,
4,1,0,3,1,2,0,1,3,0,1,18.0
5,1,0,3,1,2,0,1,3,0,1,
4,1,0,3,1,2,0,1,3,0,1,18.0
4,1,0,3,1,2,0,1,3,0,1,18.0
5,1,0,3,1,3,0,1,1,0,1,
4,1,0,3,1,3,0,1,3,0,1,33.0
4,1,0,3,1,3,0,1,3,0,1,33.0
5,1,0,3,1,3,0,1,3,0,1,
5,1,0,3,1,3,0,1,3,0,1,
5,1,0,3,1,3,0,1,3,0,1,
5,1,0,3,2,3,0,1,3,0,1,
5,1,0,3,2,3,0,1,3,0,1,
5,1,0,3,2,3,0,1,3,0,1,
5,1,0,3,2,3,0,1,3,0,1,
5,1,0,3,2,3,0,1,3,0,1,
5,1,0,3,1,3,0,1,1,0,1,
4,1,0,3,1,3,0,1,1,0,1,
5,1,0,3,1,3,0,1,1,0,1,
4,1,0,3,1,3,0,1,1,0,1,
5,1,0,3,1,3,0,1,1,0,1,
4,1,0,3,1,3,0,1,1,0,1,
4,1,0,3,1,3,0,1,1,0,1,
3,1,0,3,1,3,0,1,1,0,1,
4,1,0,3,1,3,0,1,1,0,1,
5,1,0,3,1,3,0,1,1,0,1,
4,1,0,3,2,3,0,0,1,0,1,
5,1,0,3,2,3,0,0,1,0,1,
4,1,0,3,2,3,0,0,1,0,1,
5,1,0,3,2,3,0,0,1,0,1,
5,0,0,3,2,3,0,1,1,0,1,
4,0,0,3,2,3,0,1,1,0,1,
5,0,0,3,2,3,0,1,1,0,1,
5,0,0,3,1,2,0,1,3,0,1,12.0
4,0,0,3,1,2,0,1,3,0,1,13.0
5,0,0,3,1,2,0,1,3,0,1,12.0
3,1,0,3,1,1,0,1,2,0,1,
3,1,0,3,1,1,0,1,2,0,1,
2,1,0,3,1,1,0,1,2,0,1,
3,1,0,3,1,1,0,1,2,0,1,
5,1,0,3,2,4,0,1,2,0,1,
5,1,0,3,2,4,0,1,2,0,1,
4,1,0,3,2,4,0,1,2,0,1,
5,1,0,3,2,4,0,1,2,0,1,
5,1,0,3,2,4,0,1,2,0,1,
5,1,0,3,2,4,0,1,2,0,1,
5,1,0,3,2,3,0,0,3,0,1,
4,1,0,3,2,3,0,0,3,0,1,
3,1,0,3,2,3,0,0,3,0,1,
5,1,0,3,2,3,0,0,3,0,1,
4,1,0,3,2,3,0,0,3,0,1,
2,1,0,3,2,1,0,1,2,0,1,
2,1,0,3,2,1,0,1,2,0,1,
5,1,0,3,1,1,0,1,2,0,1,202.0
5,1,0,3,2,3,0,0,1,0,1,
4,1,0,3,2,3,0,0,1,0,1,
5,1,0,3,2,2,0,1,2,0,0,
4,1,0,3,2,2,0,1,2,0,0,
5,1,0,3,2,3,0,1,2,0,1,
4,1,0,3,2,3,0,1,2,0,1,
5,1,0,3,2,3,0,1,2,0,1,
4,1,0,3,2,3,0,1,2,0,1,
5,1,0,3,2,2,1,1,2,0,0,
4,1,0,3,2,2,1,1,2,0,0,
5,1,0,3,2,2,1,1,2,0,0,
4,1,0,3,2,2,1,1,2,0,0,
5,1,0,3,2,2,1,1,2,0,0,
4,1,0,3,2,2,1,1,2,0,0,
4,1,0,3,2,1,0,1,2,0,1,
3,1,0,3,2,1,0,1,2,0,1,
2,1,0,3,1,1,0,1,2,0,1,
3,1,0,3,1,1,0,1,2,0,1,
2,1,0,3,1,1,0,1,2,0,1,
5,1,0,3,2,1,0,1,2,0,1,
4,1,0,3,2,1,0,1,2,0,1,
5,1,0,3,2,1,0,1,2,0,1,
4,1,0,3,2,1,0,1,2,0,1,
5,1,0,3,2,1,0,1,2,0,1,
5,1,0,3,2,1,0,1,2,0,1,
4,1,0,3,2,1,0,1,2,0,1,
4,1,0,3,2,1,0,1,2,0,1,
4,1,0,3,2,1,0,1,2,0,1,
4,1,0,3,1,3,1,1,2,0,1,
4,1,0,3,1,3,1,1,2,0,1,
3,1,0,3,1,3,1,1,2,0,1,
3,1,0,3,1,3,1,1,2,0,1,
2,1,0,3,1,3,1,1,2,0,1,
3,1,0,3,1,3,1,1,2,0,1,
4,1,0,3,1,3,1,1,2,0,1,
3,1,0,3,1,3,1,1,2,0,1,
5,1,0,3,2,1,0,1,2,0,1,
4,1,0,3,2,1,0,1,2,0,1,
5,1,0,3,2,1,0,1,2,0,1,
5,1,0,3,1,1,0,1,2,0,1,202.0
4,1,0,3,1,1,0,1,2,0,1,203.0
5,1,0,3,1,1,0,1,2,0,1,202.0
4,1,0,3,1,1,0,1,2,0,1,203.0
5,1,0,3,1,1,0,1,2,0,1,202.0
4,1,0,3,1,1,0,1,2,0,1,203.0
5,1,0,3,1,1,0,1,2,0,1,202.0
4,1,0,3,1,1,0,1,2,0,1,203.0
4,1,0,3,2,1,0,1,2,0,1,
3,1,0,3,2,1,0,1,2,0,1,
5,1,0,3,2,1,0,1,2,0,1,
4,1,0,3,2,1,0,1,2,0,1,
3,1,0,3,2,1,0,1,2,0,1,
3,1,0,3,2,1,0,1,2,0,1,
3,1,0,3,2,1,0,1,2,0,1,
2,1,0,3,1,1,0,1,2,0,1,
2,1,0,3,1,1,0,1,2,0,1,
2,1,0,3,1,1,0,1,2,0,1,
2,1,0,3,1,1,0,1,2,0,1,
2,1,0,3,1,1,0,1,2,0,1,
2,1,0,3,1,1,0,1,2,0,1,
2,1,0,3,1,1,0,1,2,0,1,
2,1,0,3,1,1,0,1,2,0,1,
2,1,0,3,1,1,0,1,2,0,1,
3,1,0,3,1,1,0,1,2,0,1,
3,1,0,3,1,1,0,1,2,0,1,
3,1,0,3,1,1,0,1,2,0,1,
3,1,0,3,1,1,0,1,2,0,1,
3,1,0,3,1,1,0,1,2,0,1,
3,1,0,3,1,1,0,1,2,0,1,
3,1,0,3,1,1,0,1,2,0,1,
3,1,0,3,1,1,0,1,2,0,1,
3,1,0,3,1,1,0,1,2,0,1,
2,1,0,3,2,1,0,1,2,0,1,
2,1,0,3,2,1,0,1,2,0,1,
3,1,0,3,2,1,0,1,2,0,1,
2,1,0,3,2,1,0,1,2,0,1,
3,1,0,3,2,1,0,1,2,0,1,
2,1,0,3,2,1,0,1,2,0,1,
3,1,0,3,2,1,0,1,2,0,1,
2,1,0,3,2,4,0,1,2,0,1,
5,1,0,3,1,2,0,1,2,0,0,
5,1,0,3,2,1,0,0,2,0,0,
4,1,0,3,2,1,0,0,2,0,0,
5,1,0,3,2,1,0,0,2,0,0,
4,1,0,3,2,1,0,0,2,0,0,
5,1,0,3,2,1,0,0,2,0,0,
4,1,0,3,2,1,0,0,2,0,0,
4,1,0,3,1,2,0,1,2,0,0,
5,1,0,3,1,2,0,1,2,0,0,
5,1,0,3,1,2,0,1,3,0,0,
4,1,0,3,1,2,0,1,3,0,0,
4,1,0,3,2,1,0,1,2,0,1,
5,1,0,3,2,1,0,1,2,0,1,
4,1,0,3,2,1,0,1,2,0,1,
5,1,0,3,2,1,0,1,2,0,1,
5,1,0,3,2,1,0,1,2,0,1,
4,1,0,3,2,1,0,1,2,0,1,
5,1,0,3,2,1,0,1,2,0,1,
5,1,0,3,2,1,0,1,2,0,1,
5,1,0,3,1,2,0,1,2,0,0,
4,1,0,3,1,2,0,1,2,0,0,
5,1,0,3,1,2,0,1,2,0,0,
4,1,0,3,1,2,0,1,2,0,0,
5,1,0,3,1,2,0,1,2,0,0,
4,1,0,3,1,2,0,1,2,0,0,
5,1,0,3,1,2,0,1,2,0,0,
4,1,0,3,1,2,0,1,2,0,0,
5,1,0,3,1,2,0,1,2,0,0,
4,1,0,3,1,2,0,1,2,0,0,
1,1,0,3,2,2,0,1,2,0,0,
1,1,0,3,2,2,0,1,2,0,0,
1,1,0,3,2,2,0,1,2,0,0,
1,1,0,3,2,2,0,1,2,0,0,
1,1,0,3,2,2,0,1,2,0,0,
1,1,0,3,2,2,0,1,2,0,0,
5,1,0,3,1,2,0,1,2,0,0,
4,1,0,3,1,2,0,1,2,0,0,
5,1,0,3,1,2,0,1,2,0,0,
4,1,0,3,1,2,0,1,2,0,0,
5,1,0,3,1,2,0,1,2,0,0,
4,1,0,3,1,2,0,1,2,0,0,
5,1,0,3,1,2,0,1,2,0,0,
4,1,0,3,1,2,0,1,2,0,0,
