Column Name,Max,Min,nonzero_min_values,Zero Count,Null Count,Mean,Median,Non-zero Mean,Non-zero Median
210X90,0.31,0,0.15,4,0,0.1993375,0.2,0.200339196,0.2
210X91,0.21,0,0.1,4,0,0.1373875,0.14,0.138077889,0.14
210X92,135.1,0,134.9,4,0,134.322,135,134.9969849,135
210X93,135.1,0,134.8,4,0,134.261625,134.9,134.9363065,134.9
210X94,38,0,36.1,4,0,36.800625,36.9,36.98555276,36.9
210X95,38.6,0,37.9,4,0,38.10625,38.4,38.29773869,38.4
210X96,1031,0,980.8,4,0,999.656,1006,1004.679397,1006.05
210X97,0.14,0,0.01,172,0,0.0104625,0.01,0.013328025,0.01
210X98,0.25,0,0.01,157,0,0.012375,0.01,0.015396579,0.01
210X99,0.15,0,0.01,555,0,0.0051625,0,0.016857143,0.01
210X100,1018,0,968.6,4,0,989.94525,993.6,994.9198492,993.65
210X101,2000.7,0,1998.9,4,0,1990.116875,2000.2,2000.117462,2000.2
210X102,1.74,0,1.59,4,0,1.631875,1.64,1.640075377,1.64
210X104,5754.8,0,5720.8,4,0,5707.229125,5735.1,5735.908668,5735.1
210X105,2,0,0.2,4,0,0.879875,0.8,0.884296482,0.8
210X106,5757.2,0,5727.6,4,0,5709.10825,5737.3,5737.797236,5737.3
210X107,3.7,0,0.2,4,0,0.901,0.8,0.905527638,0.8
210X108,39.1,0,38.9,4,0,38.8055,39,39.00050251,39
210X109,0.1,0,0.1,734,0,0.00825,0,0.1,0.1
210X110,39.1,0,38.9,4,0,38.8055,39,39.00050251,39
210X111,0.1,0,0.1,761,0,0.004875,0,0.1,0.1
210X112,86.28,0,0.76,4,0,2.1504475,1.525,2.161253769,1.53
210X113,68.88,0,0.685,4,0,1.89562625,1.6,1.90515201,1.6
210X114,11.055,0,0.165,4,0,0.3725775,0.305,0.374449749,0.305
210X115,11.245,0,0.145,4,0,0.3671675,0.315,0.369012563,0.315
210X116,0.573,0,0.465,4,0,0.51201875,0.523,0.514591709,0.523
210X117,0.583,0,0.462,4,0,0.51617375,0.52,0.518767588,0.52
210X118,189.92,0,65.385,4,0,123.201575,111.8625,123.8206784,111.895
210X119,186.905,0,47.445,4,0,126.7185275,128.8125,127.355304,128.82
210X120,189.885,0,65.4,4,0,123.584995,111.8575,124.2060251,111.9
210X121,186.74,0,62.25,4,0,127.0950925,128.8275,127.7337613,128.83
210X122,0.571,0,0.465,4,0,0.51207125,0.523,0.514644472,0.523
210X123,0.583,0,0.463,4,0,0.51624375,0.52,0.51883794,0.52
210X124,0.339,0,0.003,4,0,0.005335,0.005,0.005361809,0.005
210X125,0.007,0,0.003,4,0,0.0049725,0.005,0.004997487,0.005
210X126,0.03,0,0.001,4,0,0.00105875,0.001,0.00106407,0.001
210X127,0.001,0,0.001,4,0,0.000995,0.001,0.001,0.001
210X128,0.77,0,0.669,4,0,0.7116025,0.72,0.715178392,0.72
210X129,0.784,0,0.665,4,0,0.71570125,0.72,0.719297739,0.7205
210X130,1.14,0,0.873,4,0,0.91151375,0.918,0.916094221,0.918
210X131,0.977,0,0.866,4,0,0.91519625,0.923,0.919795226,0.923
210X132,189.92,0,65.385,4,0,123.3555625,111.9,123.9754397,111.955
210X133,187.02,0,47.445,4,0,126.7986975,128.875,127.4358769,128.8925
210X134,189.885,0,65.4,4,0,123.58182,111.8575,124.2028342,111.9
210X135,186.74,0,62.245,4,0,127.0943875,128.8225,127.7330528,128.8275
210X136,0.97,0,0.873,4,0,0.91122,0.9175,0.915798995,0.918
210X137,0.978,0,0.867,4,0,0.915215,0.922,0.91981407,0.923
210X138,0.162,0,0.003,4,0,0.00531625,0.005,0.005342965,0.005
210X139,0.009,0,0.003,4,0,0.00499125,0.005,0.005016332,0.005
210X140,0.024,0,0.001,4,0,0.00107125,0.001,0.001076633,0.001
210X141,0.005,0,0.001,4,0,0.001005,0.001,0.00101005,0.001
210X142,4.735,0,0.935,4,0,2.28239375,2.11,2.293863065,2.115
210X143,3.915,0,1.095,4,0,2.18984625,2.125,2.200850503,2.125
210X144,78858.06,0,23421.15,4,0,51273.88092,47701.955,51531.53861,47716.25
210X145,79156.72,0,25296.1,4,0,53053.28487,54829.37,53319.88429,54842.4725
210X146,0.475,0,0.383,4,0,0.3993625,0.401,0.401369347,0.401
210X147,0.408,0,0.392,4,0,0.39920625,0.403,0.401212312,0.403
210X148,205.37,0,67.095,4,0,129.811665,117.485,130.4639849,117.535
210X149,200.17,0,47.805,4,0,133.6470363,134.855,134.3186294,134.8875
210X150,203.665,0,70.45,4,0,130.043675,117.1925,130.6971608,117.2225
210X151,199.72,0,66.98,4,0,134.2775,135.0075,134.9522613,135.0425
210X152,22.21,-197.315,-197.315,6,0,-23.3238275,-12.095,-23.50007809,-12.4525
210X153,82.085,-73.54,-73.54,6,0,0.9622975,-2.71,0.96956927,-2.7225
210X154,1.019,0,0.55,4,0,0.69662125,0.714,0.700121859,0.714
210X155,0.895,0,0.524,4,0,0.62239625,0.619,0.625523869,0.6195
210X156,201.325,0,62.165,4,0,130.2921775,118.2425,130.9469121,118.2975
210X157,197.62,0,66.19,4,0,134.1587775,136.155,134.8329422,136.1875
210X158,0.401,0,0.029,4,0,0.2194925,0.24,0.220595477,0.2405
210X159,0.336,0,0.024,4,0,0.23485,0.2615,0.236030151,0.263
210X160,0.11,0,0.006,4,0,0.04487,0.037,0.045095477,0.038
210X161,0.146,0,0.005,4,0,0.056765,0.055,0.057050251,0.055
210X162,198.85,0,65.055,4,0,128.988805,116.9275,129.6369899,116.9675
210X163,195.255,0,64.95,4,0,132.7330275,134.63,133.4000276,134.64
210X164,0.911,0,0.551,4,0,0.69889875,0.7135,0.702410804,0.714
210X165,1.031,0,0.524,4,0,0.62724125,0.622,0.630393216,0.623
210X166,197.995,0,34.185,4,0,128.4573025,116.6025,129.1028166,116.6225
210X167,194.94,0,64.85,4,0,131.7419388,134.2,132.4039585,134.235
210X168,197.79,0,68.125,4,0,128.7365213,116.5175,129.3834384,116.565
210X169,194.52,0,64.845,4,0,132.391,134.2,133.0562814,134.2025
210X170,83.63,0,0.525,4,0,1.693645,1.3,1.702155779,1.305
210X171,83.18,0,0.45,4,0,1.64312375,1.26,1.651380653,1.26
210X172,7.355,0,0.105,4,0,0.280145,0.26,0.281552764,0.26
210X173,10.84,0,0.1,4,0,0.2991025,0.245,0.300605528,0.245
210X174,0.819,0,0.556,4,0,0.69669625,0.716,0.700197236,0.716
210X175,0.742,0,0.536,4,0,0.62470625,0.616,0.627845477,0.617
210X176,0.54,0,0.029,4,0,0.21964125,0.236,0.220744975,0.236
210X177,0.336,0,0.024,4,0,0.23476125,0.2645,0.235940955,0.2685
210X178,0.111,0,0.006,4,0,0.0448725,0.0375,0.04509799,0.038
210X179,0.146,0,0.005,4,0,0.05665,0.055,0.056934673,0.055
210X180,0.25,0,0.005,5,0,0.05846625,0.02,0.058833962,0.02
210X181,0.265,0,0.005,78,0,0.05587125,0.015,0.061907202,0.02
210X182,0.22,0,0.01,4,0,0.05914875,0.02,0.05944598,0.02
210X183,0.21,0,0.01,181,0,0.05429125,0.01,0.070166397,0.05
210X184,97762490,0,6655313,4,0,48592467.46,48079383,48836650.71,48188036
210X185,97763858,0,6656654,4,0,48659855.93,48175979,48904377.82,48247288.5
210X186,175876.5,0,14431.9,4,0,76656.82938,81895.75,77042.03957,81989.65
210X187,15749.48,0,2334.61,4,0,8183.072325,8611.515,8224.193291,8627.235
210X188,33087.8,0,163.1,4,0,10571.28725,6794.25,10624.4093,6851.7
210X189,2274.82,0,1.64,4,0,391.334775,83.04,393.3012814,84.74
210X190,158.7,0,6.4,4,0,52.91775,50.65,53.18366834,50.8
210X191,0.82,0,0.02,4,0,0.070675,0.05,0.071030151,0.05
210X192,2.4,0,0.4,4,0,1.3305,1.2,1.33718593,1.2
210X193,0.71,0,0.01,80,0,0.073425,0.02,0.081583333,0.02
210X194,4,0,0.6,4,0,1.8175,1.7,1.826633166,1.7
210X195,6.95,0,0.57,4,0,2.7886625,2.575,2.802675879,2.58
210X199,1,0,1,4,0,0.995,1,1,1
210X200,0.947,0,0.668,4,0,0.7114775,0.723,0.715052764,0.724
210X201,0.776,0,0.663,4,0,0.71428,0.72,0.717869347,0.72
210X202,0.768,0,0.669,4,0,0.71131875,0.724,0.714893216,0.724
210X203,0.777,0,0.663,4,0,0.7143225,0.72,0.71791206,0.72
210X204,2.01707E+13,2.01706E+13,2.01706E+13,0,0,2.01706E+13,2.01706E+13,2.01706E+13,2.01706E+13
210X205,2.01707E+13,2.01706E+13,2.01706E+13,0,1,2.01706E+13,2.01706E+13,2.01706E+13,2.01706E+13
210X206,10363165980,0,160929582,4,0,4869045447,1783566258,4893513012,1795036663
210X207,10363177817,0,160936686,4,0,5196045904,3424638926,5222156687,3436109330
210X209,20.84,0,19.48,120,0,17.3966875,20.68,20.46669118,20.7
210X210,7.98,0,1.115,120,0,1.30058875,1.299,1.530104412,1.3215
210X211,0.768,0,0.669,4,0,0.71125875,0.724,0.714832915,0.724
210X212,0.777,0,0.663,4,0,0.71433625,0.72,0.717925879,0.72
210X213,2.01707E+13,2.01706E+13,2.01706E+13,0,4,2.01706E+13,2.01706E+13,2.01706E+13,2.01706E+13
210X214,4,0,1,4,0,1.99625,2,2.006281407,2
ERROR:#N/A_4,13550347519,0,1194461964,4,0,8418593044,9449731295,8460897532,9452180432
210X217,13439213194,0,1085735888,4,0,8391642686,9450748628,8433811745,9455350911
210X218,100,0,100,89,0,88.875,100,100,100
210X219,50,0,35.1,89,0,37.730375,41.5,42.4533052,42.3
210X220,42.7,0,42.3,89,0,37.825,42.6,42.55977496,42.6
210X221,50,0,50,89,0,44.4375,50,50,50
210X222,35,0,35,89,0,31.10625,35,35,35
210X224,1,0,1,89,0,0.88875,1,1,1
210X225,0.0225,0,0.0225,4,0,0.0223875,0.0225,0.0225,0.0225
210X226,1,0,0.2,4,0,0.360625,0.4,0.362437186,0.4
210X228,3.3,0,0.1,120,0,0.3935,0.3,0.462941176,0.3
210X229,1,0,0.1,120,0,0.258875,0.3,0.304558824,0.3
210X230,4,0,0.1,120,0,0.84325,0.3,0.992058824,0.4
210X231,11.8,0,0.1,120,0,0.386875,0.2,0.455147059,0.2
220X2,2.156974,0.35573,0.35573,0,0,1.40554083,1.6502515,1.40554083,1.6502515
220X3,26,1,1,0,0,10.0225,6.5,10.0225,6.5
220X4,9.956959,-26.06257,-26.06257,0,0,-9.906040348,-12.6354595,-9.906040348,-12.6354595
220X5,1.090266,-4.039729,-4.039729,0,0,0.258045553,0.2641525,0.258045553,0.2641525
220X6,3.183596,-2.007051,-2.007051,0,0,2.124147318,2.1169585,2.124147318,2.1169585
220X8,0.678858,0.027372,0.027372,0,0,0.445427588,0.4475375,0.445427588,0.4475375
220X9,0.708452,-0.151448,-0.151448,0,0,0.14036971,0.13234,0.14036971,0.13234
220X10,2.677685,0.373892,0.373892,0,0,1.69900396,2.041843,1.69900396,2.041843
220X11,9.95248,-26.568158,-26.568158,0,0,-10.22121602,-13.1563045,-10.22121602,-13.1563045
220X12,0.463931,-4.985594,-4.985594,0,0,-0.625741566,-0.6602865,-0.625741566,-0.6602865
220X13,2.450345,-3.23352,-3.23352,0,0,1.292629981,1.1338715,1.292629981,1.1338715
220X14,0.09,-0.1,-0.1,40,0,-0.0356,-0.016,-0.037473684,-0.016
220X15,0,-0.054,-0.054,257,0,-0.0167025,-0.0236,-0.024607735,-0.0236
220X18,0.782,0,0.7103,257,0,0.483729375,0.7103,0.712676796,0.7103
220X19,0,-0.3181,-0.3181,257,0,-0.209023125,-0.3181,-0.307953039,-0.3181
220X20,0.213,0,0.101,257,0,0.14205375,0.213,0.209287293,0.213
220X21,0,-0.6723,-0.6723,257,0,-0.445179375,-0.6723,-0.655881215,-0.6723
220X26,14.853,14.361,14.361,0,0,14.63563125,14.6395,14.63563125,14.6395
220X27,17.954,12.783,12.783,0,0,14.7400625,13.8165,14.7400625,13.8165
220X28,14.728,13.867,13.867,0,0,14.37781875,14.447,14.37781875,14.447
220X29,17.15,10.446,10.446,0,0,13.94851,14.1275,13.94851,14.1275
220X30,14.671,12.899,12.899,0,0,14.03543875,14.3665,14.03543875,14.3665
220X31,15.601,11.904,11.904,0,0,13.56720875,13.531,13.56720875,13.531
220X32,11884,10403,10403,0,0,11351.73,11583.5,11351.73,11583.5
220X33,1150,463,463,0,0,802.20375,777.5,802.20375,777.5
220X53,34,-104,-104,0,0,-65.68375,-100,-65.68375,-100
220X54,117,-471,-471,26,0,-131.64875,-109,-136.0710594,-109
220X55,24.188639,23.518066,23.518066,0,0,23.93168283,23.928223,23.93168283,23.928223
220X67,2.01707E+15,2.01706E+15,2.01706E+15,0,0,2.01706E+15,2.01706E+15,2.01706E+15,2.01706E+15
220X70,26,1,1,0,1,10.02002503,6,10.02002503,6
220X71,2.01707E+15,2.01706E+15,2.01706E+15,0,1,2.01706E+15,2.01706E+15,2.01706E+15,2.01706E+15
220X107,23.82,23.21,23.21,0,0,23.52015,23.52,23.52015,23.52
220X108,23.61,0,23.61,798,0,0.059025,0,23.61,23.61
220X110,6.929812,-17.69805,-17.69805,0,0,-6.724654625,-8.607866,-6.724654625,-8.607866
220X112,21.87743,-1.026858,-1.026858,0,0,8.42694573,9.7939615,8.42694573,9.7939615
220X114,3.616138,-8.518913,-8.518913,0,0,-3.053926761,-4.0310435,-3.053926761,-4.0310435
220X116,22.001882,-0.776979,-0.776979,0,0,8.605700243,9.903873,8.605700243,9.903873
220X118,2.024461,-2.502261,-2.502261,0,0,-0.524746332,-0.8759775,-0.524746332,-0.8759775
220X120,22.275624,-0.395057,-0.395057,0,0,8.86214073,10.116317,8.86214073,10.116317
220X122,6.35731,-0.603999,-0.603999,0,0,1.903303116,2.157316,1.903303116,2.157316
220X124,22.024651,-0.287576,-0.287576,0,0,8.669080945,9.9266035,8.669080945,9.9266035
220X126,10.136261,-2.462796,-2.462796,0,0,3.84836771,4.688171,3.84836771,4.688171
220X128,22.213326,-0.203159,-0.203159,0,0,8.895602739,10.137349,8.895602739,10.137349
220X130,18.309054,-5.544998,-5.544998,0,0,7.44023424,9.2228635,7.44023424,9.2228635
220X132,22.126996,0.489571,0.489571,0,0,8.947167703,9.9970085,8.947167703,9.9970085
220X141,182.856756,-118.778053,-118.778053,0,0,66.79672756,80.041799,66.79672756,80.041799
220X142,784.104623,-747.255347,-747.255347,0,0,198.5920242,361.076936,198.5920242,361.076936
220X143,474.581555,-526.355574,-526.355574,0,0,-98.84663306,-113.99577,-98.84663306,-113.99577
220X150,26,26,26,0,799,26,26,26,26
220X151,2.01707E+15,2.01707E+15,2.01707E+15,0,799,2.01707E+15,2.01707E+15,2.01707E+15,2.01707E+15
220X155,6,4,4,0,0,4.0025,4,4.0025,4
220X163,0.572938,-0.423312,-0.423312,0,0,0.221226315,0.380554,0.221226315,0.380554
220X164,0.492307,-0.403895,-0.403895,0,0,0.216680839,0.356631,0.216680839,0.356631
220X165,0.619341,-0.667038,-0.667038,0,0,-0.282241026,-0.594348,-0.282241026,-0.594348
220X166,0.563894,-0.59061,-0.59061,0,0,-0.23758527,-0.492175,-0.23758527,-0.492175
220X167,0.835234,-0.903766,-0.903766,0,0,-0.213504009,-0.53969,-0.213504009,-0.53969
220X168,0.480353,-0.406826,-0.406826,0,0,-0.148632336,-0.346873,-0.148632336,-0.346873
220X169,0.526913,-0.362516,-0.362516,0,0,0.392194709,0.3775,0.392194709,0.3775
220X170,0.191003,0.088524,0.088524,0,0,0.141953754,0.151211,0.141953754,0.151211
220X171,0.120866,-0.168788,-0.168788,0,0,-0.069218773,-0.1286,-0.069218773,-0.1286
220X172,0.227642,-0.122571,-0.122571,0,0,0.134077435,0.130231,0.134077435,0.130231
220X173,0.17686,0.113699,0.113699,0,0,0.13837658,0.1340025,0.13837658,0.1340025
220X174,0.323435,-0.140554,-0.140554,0,0,0.18460132,0.27492,0.18460132,0.27492
220X175,0.168723,-0.128551,-0.128551,0,0,0.142295423,0.142802,0.142295423,0.142802
220X176,0.167768,-0.167768,-0.167768,0,0,-0.094895719,-0.135813,-0.094895719,-0.135813
220X177,0.381901,-0.381901,-0.381901,0,0,-0.209677536,-0.305521,-0.209677536,-0.305521
220X178,0.309764,0.15257,0.15257,0,0,0.20949806,0.15257,0.20949806,0.15257
220X179,0.153053,0.152116,0.152116,0,0,0.152370161,0.152116,0.152370161,0.152116
220X180,0.384134,0.154272,0.154272,0,0,0.28902073,0.307307,0.28902073,0.307307
220X181,0.153078,0.152621,0.152621,0,0,0.152954039,0.153078,0.152954039,0.153078
220X182,0.153962,0.152786,0.152786,0,0,0.15310499,0.152786,0.15310499,0.152786
220X183,0.306105,0.152255,0.152255,0,0,0.17342045,0.152255,0.17342045,0.152255
220X184,0.056067,0.04205,0.04205,0,0,0.048688405,0.049059,0.048688405,0.049059
220X185,0.045081,0.031074,0.031074,0,0,0.038781255,0.038145,0.038781255,0.038145
220X186,0.05213,0.034798,0.034798,0,0,0.043598417,0.045179,0.043598417,0.045179
220X187,0.045005,0.027911,0.027911,0,0,0.035402875,0.034888,0.035402875,0.034888
220X188,0.044952,-0.027551,-0.027551,0,0,0.035407601,0.034578,0.035407601,0.034578
220X189,0.049157,0.03845,0.03845,0,0,0.04456317,0.045441,0.04456317,0.045441
220X190,0.055589,-0.038312,-0.038312,0,0,0.028688485,0.045166,0.028688485,0.045166
220X191,0.055606,-0.041704,-0.041704,0,0,0.026390701,0.041734,0.026390701,0.041734
220X192,0.059123,-0.027825,-0.027825,0,0,0.038969419,0.04869,0.038969419,0.04869
220X193,0.055584,-0.027783,-0.027783,0,0,0.038984876,0.041688,0.038984876,0.041688
220X194,0.04866,0.034761,0.034761,0,0,0.043660341,0.045184,0.043660341,0.045184
220X195,0.059034,0.038191,0.038191,0,0,0.046782111,0.048616,0.046782111,0.048616
220X196,0.062677,0.038229,0.038229,0,0,0.049262223,0.052231,0.049262223,0.052231
220X197,0.062613,0.038229,0.038229,0,0,0.050523875,0.052178,0.050523875,0.052178
220X204,0.01365,-0.008339,-0.008339,0,0,0.007735249,0.008935,0.007735249,0.008935
220X216,0.13,-0.075,-0.075,0,0,0.05696375,0.072,0.05696375,0.072
220X217,0.217532,-0.072305,-0.072305,0,0,0.106626378,0.097951,0.106626378,0.097951
220X218,0.146464,-0.065507,-0.065507,0,0,0.085522825,0.092698,0.085522825,0.092698
220X223,-36,-222,-222,0,0,-141.3175,-168,-141.3175,-168
220X224,63,-2610,-2610,5,0,-1290.65,-1613,-1298.767296,-1618
300X1,79241,5468,5468,0,28,48872.05181,71186.5,48872.05181,71186.5
300X2,2.01707E+13,2.01706E+13,2.01706E+13,0,27,2.01706E+13,2.01706E+13,2.01706E+13,2.01706E+13
300X3,2.01707E+13,2.01706E+13,2.01706E+13,0,52,2.01706E+13,2.01706E+13,2.01706E+13,2.01706E+13
300X4,2.01707E+13,2.01706E+13,2.01706E+13,0,119,2.01706E+13,2.01706E+13,2.01706E+13,2.01706E+13
300X5,79242,5469,5469,0,32,48730.33724,71097.5,48730.33724,71097.5
300X6,2.01707E+13,2.01706E+13,2.01706E+13,0,32,2.01706E+13,2.01706E+13,2.01706E+13,2.01706E+13
300X7,2.01707E+13,2.01706E+13,2.01706E+13,0,42,2.01706E+13,2.01706E+13,2.01706E+13,2.01706E+13
300X8,79243,5469,5469,0,23,48976.84556,71104,48976.84556,71104
300X9,2.01707E+13,2.01706E+13,2.01706E+13,0,18,2.01706E+13,2.01706E+13,2.01706E+13,2.01706E+13
300X10,2.01707E+13,2.01706E+13,2.01706E+13,0,20,2.01706E+13,2.01706E+13,2.01706E+13,2.01706E+13
300X11,39894,2816,2816,0,22,24711.15938,35807,24711.15938,35807
300X12,79241,5469,5469,0,24,48981.58634,71092.5,48981.58634,71092.5
300X13,2.01707E+13,2.01706E+13,2.01706E+13,0,26,2.01706E+13,2.01706E+13,2.01706E+13,2.01706E+13
300X14,2.01707E+13,2.01706E+13,2.01706E+13,0,24,2.01706E+13,2.01706E+13,2.01706E+13,2.01706E+13
300X16,6.3,6.3,6.3,0,16,6.3,6.3,6.3,6.3
300X20,2.01707E+13,2.01706E+13,2.01706E+13,0,13,2.01706E+13,2.01706E+13,2.01706E+13,2.01706E+13
310X2,2.499846,0.686978,0.686978,0,0,1.71881339,1.714099,1.71881339,1.714099
310X4,9.253308,-39.721476,-39.721476,0,0,-19.27258322,-19.7292785,-19.27258322,-19.7292785
310X5,1.548,-5.358714,-5.358714,0,0,-1.221011238,-1.3110565,-1.221011238,-1.3110565
310X6,3.602571,-4.575146,-4.575146,0,0,0.414574638,0.322035,0.414574638,0.322035
310X8,0.641284,-0.074784,-0.074784,0,0,0.325303836,0.3317435,0.325303836,0.3317435
310X9,0.705024,-0.405603,-0.405603,0,0,0.055750709,-0.017044,0.055750709,-0.017044
310X10,2.773196,0.541445,0.541445,0,0,1.583400725,1.522594,1.583400725,1.522594
310X11,9.430055,-39.450215,-39.450215,0,0,-18.95307564,-19.434653,-18.95307564,-19.434653
310X12,0.965326,-5.543905,-5.543905,0,0,-1.793351637,-1.8875635,-1.793351637,-1.8875635
310X13,3.118254,-4.471103,-4.471103,0,0,-0.078617383,-0.193446,-0.078617383,-0.193446
310X14,0.072,-0.22,-0.22,90,0,-0.115246625,-0.22,-0.129855352,-0.22
310X15,0,-0.1608,-0.1608,90,0,-0.05427525,-0.03,-0.061155211,-0.03
