210X1,210X11,210X16,210X36,210X104,210X106,210X118,210X156,210X167,210X190,210X193,220X33,220X163,220X166,311X25,311X26,311X74,311X86,311X87,311X88,311X90,311X182,311X183,311X184,311X189,311X211,312X51,312X129,340X109,360X896,360X1245,420X31,420X97,420X205,520X144,520X246,520X345,520X351,520X353,750X368,750X582,Value
89.37,21.2,0.076,440,5731.8,5739.4,111.23,117.44,135.105,71.8,0.01,694,0.438129,0.45869,12528,12528,6,10.4,9.8,10.4,9.6,10,37,37.8,54.7,4.8,337,32.1,45985,4.83,87.04,9027,9.2,1490,60609,60609,60611,60593,60611,78.39,0.376,3.197219462
99.97,14.43,0.08,435,5736,5733.4,158.39,167.185,165.875,46.7,0,694,0.438129,0.45869,12528,12528,6,10.4,9.8,10.4,9.6,10,37,37.8,54.7,4.8,337,32.1,45985,4.83,87.04,9027,9.2,1490,60609,60609,60611,60593,60611,78.39,0.376,3.197219462
89.39,21.19,0.076,440,5731.7,5738.1,110.815,116.995,135.235,71.9,0.01,694,0.433917,0.45869,12529,12529,6.2,9.3,9.8,10.3,9.6,11,37,37.8,57.2,4.78,325,31.6,45986,4.83,87.06,16583,9.4,1612,60615,60615,60617,60599,60617,78.38,0.377,3.112323341
100.05,14.43,0.08,435,5735.9,5733,157.89,166.72,166,46.7,0,694,0.433917,0.45869,12529,12529,6.2,9.3,9.8,10.3,9.6,11,37,37.8,57.2,4.78,325,31.6,45986,4.83,87.06,16583,9.4,1612,60615,60615,60617,60599,60617,78.38,0.377,3.112323341
101,26.13,0.072,420,5730.3,5742.6,129.57,137.075,127.435,50.4,0.03,463,0.393381,-0.492175,6783,6783,7,8,7.6,8,7.7,5,37.1,37.9,51.2,4.92,349,33.1,45713,4.59,87.99,8235,9.6,1475,60340,60340,60342,60324,60342,37.76,0.354,2.756221803
0,0,0.066,430,5747.1,5733.5,187.13,198.755,192.75,52.9,0.02,463,0.393381,-0.483615,11821,11821,5.9,9.4,9.4,9.7,10.2,1,37,37.8,56.1,4.77,350,33.2,45713,4.61,87.98,4047,8.7,1280,60341,60341,60343,60325,60343,37.74,0.354,3.122650814
101.05,26.19,0.072,420,5730.3,5741.5,130.035,137.42,127.855,49.3,0.02,463,0.380554,-0.492175,11817,11817,6,9.9,9.5,9.9,9.8,10,37,37.8,55.3,4.75,329,32.1,45713,4.61,87.88,8223,9.8,1534,60316,60316,60318,60300,60318,36.34,0.372,2.952163652
0,0,0.066,430,5746.4,5733.4,188.375,200.36,192.935,52.6,0.02,463,0.384829,-0.492175,2700,2700,6.5,8.8,8.6,8.9,8.8,6,37.1,37.9,52.7,4.88,337,33.9,45713,4.61,87.88,4035,9,987,60317,60317,60319,60301,60319,36.33,0.373,3.068079987
101,26.18,0.071,420,5729.7,5740.8,130.375,137.435,127.965,49.5,0.03,463,0.393381,-0.500734,2817,2844,7,8.1,7.8,8.1,8,2,38.7,39.5,51,4.85,339,31.8,45713,4.62,87.95,8224,9.6,1582,60318,60318,60320,60302,60320,36.34,0.373,2.652616912
0,0,0.066,430,5746.5,5733.8,187.815,199.065,192.92,52.9,0.02,463,0.367726,-0.492175,2704,2704,6.9,8.7,8.4,8.8,9.5,10,37.1,37.9,53.4,4.79,349,32.8,45713,4.61,87.95,4041,8.9,1289,60329,60329,60331,60313,60331,36.34,0.373,2.954648254
101.05,26.16,0.072,420,5730.4,5742,129.68,136.72,127.365,49.9,0.02,463,0.367726,-0.496455,2821,2848,7,8.1,7.8,8.1,8.5,6,38.7,39.5,51.3,4.97,349,33.7,45713,4.59,87.99,8230,9.3,1426,60330,60330,60332,60314,60332,37.76,0.354,2.739788864
0,0,0.066,430,5746,5733.3,187.64,198.77,192.82,52.9,0.02,463,0.376278,-0.496455,6780,6780,6.3,7.9,7.6,8,7.6,2,37.1,37.9,50.8,4.98,348,32,45713,4.61,87.99,4042,8.5,923,60331,60331,60333,60315,60333,37.74,0.353,2.908289216
0,0,0.066,430,5747.1,5733,187.85,199.15,192.81,52.9,0.02,463,0.384829,-0.492175,2824,2851,7,8.5,8.2,8.5,8,9,38.7,39.5,51.9,4.7,348,31.8,45713,4.61,87.98,4046,8.7,1289,60339,60339,60341,60323,60341,37.74,0.354,2.911308341
100.45,14.5,0.08,435,5733.2,5729.1,158.125,167.055,166.46,46.5,0.01,477,0.410485,-0.470776,2725,2725,6.5,9.1,8.6,9.1,8.9,5,37.1,37.9,52,4.97,344,35.9,45713,4.62,88.02,15928,9.2,1602,20460,20461,20461,20437,20461,26.58,0.358,2.77797922
100.35,14.51,0.08,435,5732.6,5730.5,158.85,167.805,166.68,46.3,0.02,478,0.380554,-0.483615,2838,2865,6.8,8.6,8.2,8.6,8.9,10,38.7,39.5,53.3,4.71,323,32,45713,4.65,87.91,15920,9.3,1748,20436,20437,20437,20413,20437,26.58,0.36,2.561720852
100.35,14.51,0.08,435,5732.5,5729.9,158.67,167.615,166.545,46.4,0,478,0.380554,-0.479335,6798,6798,6.7,8.4,7.5,8.4,8.6,7,37.1,37.9,50.8,4.75,334,34.4,45713,4.62,88.01,8425,9.5,1534,20440,20441,20441,20417,20441,26.58,0.36,2.751734564
100.35,14.51,0.08,435,5732.4,5729.6,158.885,167.1,166.725,46.4,0,478,0.389105,-0.479335,11837,11837,5.9,10.3,9.6,10.3,9.6,4,37,37.8,54.3,4.93,339,33.4,45713,4.62,88.01,4233,8.5,1275,20444,20445,20445,20421,20445,26.58,0.358,3.018343098
100.4,14.5,0.08,435,5733.1,5729.9,158.64,167.285,166.67,46.4,0.01,478,0.401933,-0.483615,2721,2721,6.4,9.1,8.3,9.1,8.8,1,37.1,37.9,52.2,4.96,341,33.6,45713,4.62,88.02,15924,9.5,1602,20448,20449,20449,20425,20449,26.58,0.359,2.69196539
100.4,14.5,0.08,435,5732.6,5729.8,158.425,167.45,166.55,46.5,0,477,0.406209,-0.492175,2723,2723,6.6,8.8,8.4,8.8,8.8,3,37.1,37.9,52.4,4.87,344,35.6,45713,4.62,88.01,15926,9.6,1543,20454,20455,20455,20431,20455,26.58,0.359,2.722004799
100.45,14.49,0.08,435,5733.1,5729.4,158.39,167.23,166.68,46.5,0.01,477,0.423312,-0.483615,6804,6804,6.9,8.2,7.8,8.2,7.9,13,37.1,37.9,50,4.86,344,34.2,45713,4.63,88.02,8431,9.3,1524,20458,20459,20459,20435,20459,26.58,0.359,2.769098405
0,0,0.065,430,5751.2,5737.3,187.01,198.27,191.545,55.6,0.03,471,0.354898,-0.483615,6785,6785,6.3,7.6,7.6,8,7.8,7,37.1,37.9,50.5,4.77,323,31.6,45713,4.64,88.24,15830,9.6,1807,60375,60375,60377,60359,60377,37.76,0.356,2.649478629
100.65,25.84,0.073,420,5735.6,5747.6,128.415,135.92,126.24,52,0.03,471,0.350622,-0.492175,11823,11823,6.1,10.1,9.3,10.1,10.3,3,37,37.8,57,4.74,346,35.8,45713,4.64,88.25,8334,9.4,1407,60376,60376,60378,60360,60378,37.74,0.355,2.962306311
0,0,0.066,430,5751,5737.4,187.37,197.985,191.275,55.6,0.03,471,0.346347,-0.487895,2827,2854,6.7,8.9,8.4,8.9,8.6,12,38.7,39.5,53.1,4.67,323,35.3,45713,4.64,88.25,4143,8.5,1328,60377,60377,60379,60361,60379,37.74,0.356,2.732028564
101.25,25.93,0.071,420,5725.9,5734.6,128.82,135.795,126.26,44.6,0.03,694,0.454981,0.45869,3618,3645,6.8,8.1,8,8.2,8.3,4,38.7,39.5,51.4,4.87,348,30.6,46331,4.15,83.57,137,8.5,1304,60784,60784,60786,60768,60786,78.37,0.351,2.94724567
100.15,14.43,0.08,435,5735.7,5732.8,158.505,166.78,166.48,46.6,0.01,694,0.454981,0.45869,3618,3645,6.8,8.1,8,8.2,8.3,4,38.7,39.5,51.4,4.87,348,30.6,46331,4.15,83.57,137,8.5,1304,60784,60784,60786,60768,60786,78.37,0.351,2.94724567
101.25,25.97,0.071,420,5725.8,5735.2,128.825,135.5,126.325,44.4,0.03,694,0.446555,0.45869,7602,7602,6.6,8.3,7.7,8.3,8,13,37.1,37.9,52.4,4.74,334,30.4,46327,4.17,83.62,134,8.8,1602,60760,60760,60762,60744,60762,78.38,0.374,2.877755523
100.2,14.44,0.08,435,5735.4,5732.4,158.515,166.565,166.12,46.3,0.01,694,0.446555,0.45869,7602,7602,6.6,8.3,7.7,8.3,8,13,37.1,37.9,52.4,4.74,334,30.4,46327,4.17,83.62,134,8.8,1602,60760,60760,60762,60744,60762,78.38,0.374,2.877755523
89.4,21.2,0.076,440,5731.8,5738.9,111.225,117.135,134.73,71.6,0.01,694,0.442342,0.467107,12540,12540,6.4,9.8,9.8,10,10.1,9,37,37.8,58.3,4.58,317,30.8,46327,4.17,83.62,16601,9.7,1592,60762,60762,60764,60746,60764,78.39,0.375,2.975450932
100.2,14.44,0.08,435,5735.3,5732.8,157.965,166.745,166.165,46.3,0.01,694,0.442342,0.467107,12540,12540,6.4,9.8,9.8,10,10.1,9,37,37.8,58.3,4.58,317,30.8,46327,4.17,83.62,16601,9.7,1592,60762,60762,60764,60746,60764,78.39,0.375,2.975450932
89.37,21.16,0.076,440,5731.1,5738.7,110.97,117.565,135.03,71.6,0.02,694,0.438129,0.462898,3378,3378,7.2,8.8,8.7,8.9,9.1,5,37.1,37.9,51.8,4.99,341,33.4,46328,4.15,83.72,9046,9.8,1480,60764,60764,60766,60748,60766,78.38,0.375,2.783130311
100.25,14.45,0.08,435,5735.3,5732.7,158.16,167.565,165.915,46.3,0.01,694,0.438129,0.462898,3378,3378,7.2,8.8,8.7,8.9,9.1,5,37.1,37.9,51.8,4.99,341,33.4,46328,4.15,83.72,9046,9.8,1480,60764,60764,60766,60748,60766,78.38,0.375,2.783130311
101.25,25.96,0.071,420,5725.8,5734.6,128.895,135.705,126.655,44.4,0.03,694,0.442342,0.45869,3615,3642,6.7,8.6,8.2,8.6,8.7,1,38.7,39.5,52,4.94,344,30.1,46328,4.15,83.72,4839,8.6,1241,60766,60766,60768,60750,60768,78.38,0.375,2.834119417
100.2,14.44,0.08,435,5735.8,5732.2,157.65,166.685,166.435,46.3,0.01,694,0.442342,0.45869,3615,3642,6.7,8.6,8.2,8.6,8.7,1,38.7,39.5,52,4.94,344,30.1,46328,4.15,83.72,4839,8.6,1241,60766,60766,60768,60750,60768,78.38,0.375,2.834119417
89.34,21.19,0.076,440,5731.8,5738.2,111.135,117.175,134.89,71.7,0.02,694,0.442342,0.454482,12541,12541,6.2,10.2,9.6,10.2,9.8,10,37,37.8,55.2,4.71,347,31.6,46328,4.14,83.65,135,8.8,1602,60768,60768,60770,60752,60770,78.39,0.375,3.133830561
100.15,14.44,0.08,435,5735.3,5733,158.1,167.21,166.12,46.3,0.01,694,0.442342,0.454482,12541,12541,6.2,10.2,9.6,10.2,9.8,10,37,37.8,55.2,4.71,347,31.6,46328,4.14,83.65,135,8.8,1602,60768,60768,60770,60752,60770,78.39,0.375,3.133830561
89.38,21.19,0.076,440,5731.6,5739.3,110.805,117.185,135.17,71.7,0.02,694,0.438129,0.454482,3379,3379,6.5,9.2,8.5,9.2,8.9,6,37.1,37.9,53,4.8,319,29.8,46329,4.15,83.65,16602,9.7,1636,60770,60770,60772,60754,60772,78.38,0.376,2.845201545
100.2,14.44,0.08,435,5735.6,5732.4,157.845,166.7,166.085,46.4,0.01,694,0.438129,0.454482,3379,3379,6.5,9.2,8.5,9.2,8.9,6,37.1,37.9,53,4.8,319,29.8,46329,4.15,83.65,16602,9.7,1636,60770,60770,60772,60754,60772,78.38,0.376,2.845201545
101.25,25.95,0.071,420,5725.7,5735.6,128.865,136.02,72.765,44.4,0.04,694,0.438129,0.45869,3616,3643,7.1,8.6,8.2,8.6,8.5,2,38.7,39.5,51.9,4.8,347,31.8,46329,4.14,83.62,9047,9.8,1582,60772,60772,60774,60756,60774,78.64,0.347,2.804543811
100.2,14.44,0.08,435,5735.5,5733.5,158.38,166.875,166.61,46.4,0.01,694,0.438129,0.45869,3616,3643,7.1,8.6,8.2,8.6,8.5,2,38.7,39.5,51.9,4.8,347,31.8,46329,4.14,83.62,9047,9.8,1582,60772,60772,60774,60756,60774,78.64,0.347,2.804543811
101.25,25.95,0.071,420,5726.2,5734.3,128.625,135.77,126.345,44.4,0.01,694,0.442342,0.45869,12542,12542,6,9.8,9.6,10,10.2,11,37,37.8,55.2,4.81,323,34.4,46329,4.15,83.62,4840,8.6,1241,60774,60774,60776,60758,60776,78.62,0.347,3.291524705
100.2,14.43,0.08,435,5735.8,5732,158.325,167.21,165.875,46.5,0.01,694,0.442342,0.45869,12542,12542,6,9.8,9.6,10,10.2,11,37,37.8,55.2,4.81,323,34.4,46329,4.15,83.62,4840,8.6,1241,60774,60774,60776,60758,60776,78.62,0.347,3.291524705
89.38,21.23,0.076,440,5731.9,5739.1,111.025,117.335,135.045,71.8,0,694,0.442342,0.454482,3380,3380,6.7,8.6,8.6,8.9,8.8,7,37.1,37.9,52.9,4.82,348,30.4,46330,4.15,83.59,136,8.8,1553,60776,60776,60778,60760,60778,78.62,0.348,2.96803747
100.15,14.45,0.08,435,5735.4,5732.1,158.485,166.515,165.8,46.5,0,694,0.442342,0.454482,3380,3380,6.7,8.6,8.6,8.9,8.8,7,37.1,37.9,52.9,4.82,348,30.4,46330,4.15,83.59,136,8.8,1553,60776,60776,60778,60760,60778,78.62,0.348,2.96803747
101.3,25.94,0.071,420,5726.3,5735.1,128.805,136.285,126.43,44.4,0.02,694,0.442342,0.45869,3617,3644,6.7,8.5,8,8.5,8.7,3,38.7,39.5,52.1,4.9,324,32.6,46330,4.15,83.59,16603,9.3,1592,60778,60778,60780,60762,60780,78.35,0.349,2.864424125
100.2,14.44,0.08,435,5735.4,5732.1,157.86,166.725,166.025,46.5,0.01,694,0.442342,0.45869,3617,3644,6.7,8.5,8,8.5,8.7,3,38.7,39.5,52.1,4.9,324,32.6,46330,4.15,83.59,16603,9.3,1592,60778,60778,60780,60762,60780,78.35,0.349,2.864424125
89.37,21.21,0.076,440,5731.8,5738.9,111.21,117.285,135.02,71.9,0.01,694,0.450768,0.454482,12543,12543,6.3,10.2,9.6,10.2,9.8,12,37,37.8,55.8,4.7,348,34,46330,4.15,83.6,9048,9.3,1529,60780,60780,60782,60764,60782,78.35,0.351,3.172917341
100.1,14.44,0.08,435,5735.4,5733.3,158.385,167.27,166.315,46.5,0.01,694,0.450768,0.454482,12543,12543,6.3,10.2,9.6,10.2,9.8,12,37,37.8,55.8,4.7,348,34,46330,4.15,83.6,9048,9.3,1529,60780,60780,60782,60764,60782,78.35,0.351,3.172917341
89.38,21.19,0.076,440,5731.5,5739,110.975,117.295,135.335,71.9,0.01,694,0.450768,0.454482,3381,3381,6.7,8.9,8.8,9,9.3,8,37.1,37.9,52.7,4.84,326,31.6,46331,4.15,83.6,4841,8.3,1289,60782,60782,60784,60766,60784,78.35,0.351,2.999257371
100.1,14.43,0.08,435,5736.1,5732.3,158.25,166.95,166.36,46.5,0,694,0.450768,0.454482,3381,3381,6.7,8.9,8.8,9,9.3,8,37.1,37.9,52.7,4.84,326,31.6,46331,4.15,83.6,4841,8.3,1289,60782,60782,60784,60766,60784,78.35,0.351,2.999257371
101.15,26.34,0.071,425,5724.4,5732.6,130.515,137.925,128.165,40.8,0.02,533,0.354898,-0.569211,12048,12048,6.2,9.7,9.5,9.9,9.8,7,37,37.8,55.3,4.8,317,33.1,45713,4.84,87.06,8702,9.6,1475,60832,60832,60834,60816,60834,20,0.353,3.037601015
89.93,21.01,0.076,435,5737.6,5749.8,109.985,116.34,133.795,71,0.03,533,0.350622,-0.564931,2904,2904,6.8,8.6,8.2,8.6,8.7,3,37.1,37.9,52.4,4.89,343,32.7,45713,4.85,87.06,4506,8.5,1231,60833,60833,60835,60817,60835,19.99,0.353,2.698237117
0,0,0.067,425,5750.9,5740.3,184.23,195.305,189.255,50.6,0.01,533,0.359174,-0.552092,7020,7020,7.1,8.1,7.7,8.1,7.9,8,37.1,37.9,50.8,4.74,322,33.8,45713,4.83,87.1,16200,9.6,1553,60834,60834,60836,60818,60836,20,0.353,2.465032837
101.15,26.34,0.071,425,5723.9,5732.7,130.345,137.77,127.79,40.7,0.02,533,0.350622,-0.526413,12049,12049,6,10,9.4,10,10.1,8,37,37.8,54.4,4.87,345,35.7,45713,4.84,87.1,8703,9.6,1431,60835,60835,60837,60819,60837,19.99,0.354,3.102291784
100.2,14.45,0.08,435,5734.5,5732,157.755,166.75,166.205,46.2,0,483,0.393381,-0.483615,2738,2738,6.8,9.1,8.6,9.1,8.4,5,37.1,37.9,52.4,4.88,345,34.9,45713,4.78,87.91,8651,9.6,1431,60474,60474,60476,60458,60476,26.58,0.361,2.77379164
100.25,25.7,0.073,420,5739.9,5751,128.13,134.925,125.33,52.9,0.03,484,0.384829,-0.500734,2851,2878,7.2,8.5,8.2,8.6,8.4,10,38.7,39.5,50.7,4.9,342,35.1,45713,4.75,87.86,8643,9.6,1382,60450,60450,60452,60434,60452,26.58,0.36,2.593500139
100.25,25.7,0.073,420,5739.7,5750.8,128.13,134.965,125.5,52.8,0.02,484,0.372002,-0.505014,6810,6810,6.6,7.8,7.8,8.2,8.2,6,37.1,37.9,50.6,4.82,321,35.3,45713,4.76,87.86,4448,8.5,1280,60451,60451,60453,60435,60453,26.58,0.36,2.623930919
100.25,25.7,0.073,420,5739.7,5750.9,128.37,135.23,125.365,52.8,0.02,484,0.372002,-0.509294,11848,11848,6,9.6,9.3,9.6,9.9,2,37,37.8,56.3,4.89,343,33.9,45713,4.75,87.94,16141,9.6,1700,60452,60452,60454,60436,60454,26.58,0.359,2.615979225
100.25,14.44,0.08,435,5734.3,5731.5,158.275,166.185,166.205,46.8,0,484,0.376278,-0.513574,2853,2880,6.9,8.6,8.3,8.6,8.9,12,38.7,39.5,52.2,4.8,344,36,45713,4.77,87.94,8645,9.6,1431,60456,60456,60458,60440,60458,26.58,0.359,2.625093932
100.1,14.45,0.08,435,5734.4,5732.1,158.045,167.285,166.12,46.6,0,483,0.380554,-0.505014,11850,11850,6,9.6,9.4,9.6,9.7,4,37,37.8,57,4.63,344,33.3,45713,4.8,87.94,16143,9.7,1797,60458,60458,60460,60442,60460,26.58,0.359,2.701172087
100.2,14.46,0.08,435,5733.6,5731.7,158.39,166.99,166.14,46.5,0,483,0.384829,-0.500734,6813,6813,6.5,8.2,7.8,8.3,8,9,37.1,37.9,49.5,4.98,345,35.7,45713,4.75,87.94,4451,8.6,1280,60460,60460,60462,60444,60462,26.58,0.362,2.716429837
100.25,14.45,0.08,435,5734,5732.3,138.305,166.935,165.985,46.2,0,483,0.380554,-0.492175,6817,6817,7.5,8.3,7.9,8.3,8.4,13,37.1,37.9,50.1,4.81,345,32.9,45713,4.77,87.91,4455,8.5,1338,60472,60472,60474,60456,60474,26.58,0.361,2.774193057
100.4,25.99,0.073,425,5736.4,5744,128.63,135.345,125.87,50.1,0.03,519,0.329243,-0.432258,2787,2787,6.6,8.3,8,8.3,8.3,4,37.1,37.9,52.3,4.9,347,31.4,45713,4.84,88.21,16210,9.7,1641,20709,20710,20710,20686,20710,21.75,0.371,2.578657692
89.9,21.44,0.076,445,5732.8,5740.9,111.57,117.76,135.52,71.9,0.02,519,0.324967,-0.432258,6883,6883,6.8,7.8,7.7,8.1,8.2,13,37.1,37.9,50,4.79,333,34.2,45713,4.84,88.2,8713,9.8,1534,20710,20711,20711,20687,20711,21.75,0.372,2.898557361
0,0,0.066,435,5738.9,5730.3,188.84,199.635,193.44,32,0.03,519,0.329243,-0.432258,11918,11918,6.2,10,9.4,10,9.6,9,37,37.8,56.2,4.7,338,34,45713,4.82,88.24,4517,8.6,1289,20711,20712,20712,20688,20712,21.7,0.371,3.241420861
100.75,26.18,0.072,425,5732,5740.4,129.195,136.085,126.625,42.6,0.01,618,0.359174,-0.513574,12340,12340,6,10.1,9.3,10.1,10.1,6,37,37.8,54.9,4.83,325,31.6,46254,4.05,83.14,127,8.8,1597,60643,60643,60645,60627,60645,76.58,0.366,2.987806723
90.06,21.44,0.076,445,5731.5,5739.6,111.13,117.735,135.13,72,0.02,618,0.359174,-0.513574,3195,3195,6.4,8.6,8.3,8.7,8.2,6,37.1,37.9,52.2,4.91,347,31.7,46254,4.06,83.16,16594,9.7,1641,60644,60644,60646,60628,60646,76.58,0.367,2.86922614
0,0,0.08,445,5735,5733.9,66.28,70.695,66.015,41,0,619,0.354898,-0.530693,12328,12328,6.1,9,9.1,9.6,9,1,37,37.8,54.2,5.14,314,31.6,46246,4.09,83.04,121,8.9,1558,60619,60619,60621,60603,60621,76.58,0.365,2.917692051
0,0,0.08,445,5734.5,5733.3,66.665,71.215,66.16,42.8,0.01,619,0.354898,-0.534973,3183,3183,6.7,8.1,8,8.3,8.4,1,37.1,37.9,52,4.96,333,28.9,46246,4.09,83.04,16588,9.8,1690,60620,60620,60622,60604,60622,76.58,0.365,2.681241659
0,0,0.08,445,5734.3,5733.4,66.49,71.11,66.25,41.4,0.01,619,0.359174,-0.534973,12329,12329,5.9,9.3,9.1,9.6,9.1,2,37,37.8,55.2,5.01,321,35.1,46246,4.09,83.12,9033,9.8,1631,60621,60621,60623,60605,60623,76.58,0.365,2.87105248
0,0,0.081,445,5734.4,5734.1,66.5,70.995,66.085,39.8,0.01,619,0.359174,-0.534973,3184,3184,6.8,8.1,8.1,8.4,8.4,2,37.1,37.9,51.8,5.01,341,33.7,46247,4.09,83.1,4826,8.6,1338,60622,60622,60624,60606,60624,76.58,0.365,2.932151841
0,0,0.084,445,5734.4,5732.5,66.72,71.2,66.15,30.8,0.03,619,0.354898,-0.534973,3187,3187,7.3,8.5,8.3,8.7,8.5,5,37.1,37.9,52.8,4.82,344,31.8,46249,4.08,83.17,16590,9.4,1651,60628,60628,60630,60612,60630,76.58,0.365,2.858548119
0,0,0.084,445,5734.7,5733.4,66.86,71.215,66.25,30.1,0.05,619,0.354898,-0.530693,12333,12333,5.9,9.7,9.4,9.9,9.3,6,37,37.8,56.6,4.84,325,33.1,46249,4.07,83.16,9035,9.4,1631,60629,60629,60631,60613,60631,76.58,0.365,3.167575394
90.08,21.49,0.076,445,5731.1,5739.5,111.41,117.84,135.305,72,0.02,619,0.354898,-0.534973,3188,3188,7.1,8.1,8.4,9,8.5,6,37.1,37.9,52.1,4.93,345,30.6,46249,4.07,83.16,4828,8.4,1241,60630,60630,60632,60614,60632,76.58,0.365,2.738104156
100.7,26.23,0.072,425,5732.3,5739.6,129.035,136.28,126.6,41.1,0.03,619,0.354898,-0.539252,12334,12334,6.3,9.7,9.4,10.3,9.7,7,37,37.8,55.1,4.81,326,31.6,46250,4.07,83.16,124,8.7,1597,60631,60631,60633,60615,60633,76.58,0.365,3.172648015
90.07,21.47,0.076,445,5730.7,5738.9,111.39,117.705,135.245,71.9,0.02,619,0.354898,-0.530693,3189,3189,6.5,8.1,8.4,9.2,9,7,37.1,37.9,52.5,4.92,346,34,46250,4.07,83.14,16591,9.6,1568,60632,60632,60634,60616,60634,76.58,0.366,2.903242549
100.7,26.2,0.072,425,5732.2,5739.9,129.41,136.605,73.17,41.8,0.01,618,0.354898,-0.526413,12337,12337,6.4,9.6,9.3,9.8,9.8,3,37,37.8,57.2,4.74,327,31.6,46252,4.06,83.18,9037,9.6,1529,60637,60637,60639,60621,60639,76.58,0.366,2.911705985
90.06,21.45,0.076,445,5731.6,5738.8,111.405,117.6,135.215,71.9,0.02,618,0.350622,-0.513574,3194,3194,6.3,8.1,8.4,8.7,9,5,37.1,37.9,52.3,4.87,347,32.3,46253,4.05,83.16,4831,8.5,1231,60642,60642,60644,60626,60644,76.58,0.366,2.94275933
0,0,0.066,425,5742.6,5732.9,184.92,195.41,189.35,41.6,0.03,527,0.337795,-0.569211,7007,7007,6.5,7.8,7.7,8.2,7.6,8,37.1,37.9,51.1,4.74,328,32.3,45719,4.12,85.93,4577,8.5,1231,20822,20823,20823,20799,20823,22.13,0.358,2.634258398
89.33,21.16,0.076,440,5732,5739.4,111.205,117.13,134.77,71.9,0.01,694,0.442342,0.45869,12531,12531,6,10.6,9.8,10.6,10.1,13,37,37.8,58,4.64,327,31.5,45988,4.81,87.89,4822,8.4,1328,20472,20473,20473,20449,20473,78.38,0.377,3.315515136
