311X25,311X26,311X223,311X88,311X87,311X86,311X189,311X89,311X90,311X188,311X190,311X154,311X203,311X191,311X205,311X187,311X207,311X59,311X171,311X22,311X7,311X6,311X164,311X152,311X204,311X163,311X129,520X351,520X353,520X144,520X246,520X345,311X20,300X3,520X1,311X55,210X1,300X14,300X9,300X6,311X170,310X56,311X56,330X140,330X157,220X67,330X147,300X20,300X10,220X71
4741,4741,101,8.7,8.6,8.7,52.5,7.9,9.0,46.9,46.8,-0.1,57.5,46.8,57.5,46.8,57.5,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.0,20170700000000.0,0.1,27093.0,27117,27116,27117,27117.0,20170700000000.0,20170700000000.0,20609.0,20170700000000.0,0.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,93.94,93.94,2017070000000000.0,93.94,20170700000000.0,20170700000000.0,2017070000000000.0
5910,5937,54,8.2,7.9,8.2,51.3,7.3,7.8,46.0,46.0,-0.1,54.1,46.0,54.1,46.0,54.1,20170700000000.0,,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,-0.1,54.0,20170700000000.0,0.1,27523.0,27547,27546,27547,27547.0,20170700000000.0,20170700000000.0,20989.0,20170700000000.0,101.9,,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,90.71,90.703,2017070000000000.0,90.69,20170700000000.0,20170700000000.0,2017070000000000.0
14438,14438,198,9.4,9.1,9.4,56.8,8.5,9.7,48.5,48.5,0.0,58.3,48.5,58.3,48.5,58.3,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,58.1,20170700000000.0,0.2,27524.0,27548,27547,27548,27548.0,,20170700000000.0,20990.0,20170700000000.0,101.9,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,90.71,90.697,2017070000000000.0,90.69,20170700000000.0,20170700000000.0,2017070000000000.0
5147,5147,101,8.5,8.1,8.2,51.7,7.9,8.7,46.8,46.7,-0.1,57.5,46.7,57.5,46.7,57.6,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.2,20170700000000.0,0.1,27525.0,27549,27548,27549,27549.0,20170700000000.0,20170700000000.0,20991.0,20170700000000.0,101.95,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,90.71,90.697,2017070000000000.0,90.69,20170700000000.0,20170700000000.0,2017070000000000.0
14185,14185,198,10.3,9.6,10.3,55.2,8.9,9.7,48.7,48.5,0.0,58.5,48.5,58.6,48.5,58.5,20170700000000.0,20170700000000.0,20170700000000.0,,20170700000000.0,20170700000000.0,0.0,57.7,20170700000000.0,0.2,65059.0,65077,65075,65075,65077.0,20170700000000.0,20170700000000.0,56970.0,20170700000000.0,102.0,,,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,92.62,92.62,2017070000000000.0,92.62,20170700000000.0,20170700000000.0,2017070000000000.0
4894,4894,101,8.6,8.2,8.1,52.1,7.5,8.4,46.9,46.7,-0.1,57.5,46.7,57.5,46.7,57.5,,,20170700000000.0,,20170700000000.0,20170700000000.0,0.0,57.0,20170700000000.0,0.1,65060.0,65078,65076,65076,65078.0,20170700000000.0,20170700000000.0,56971.0,20170700000000.0,102.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,92.62,92.62,2017070000000000.0,92.62,20170700000000.0,20170700000000.0,2017070000000000.0
14173,14173,198,9.8,9.3,9.8,55.3,8.6,9.6,48.6,48.5,0.0,58.4,48.6,58.5,48.5,58.4,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,58.4,20170700000000.0,0.2,65035.0,65053,65051,65051,65053.0,,20170700000000.0,56946.0,20170700000000.0,102.05,,,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,92.57,92.563,2017070000000000.0,92.56,20170700000000.0,20170700000000.0,2017070000000000.0
4882,4882,101,8.6,8.1,8.6,50.4,7.3,8.6,46.8,46.7,-0.1,57.7,46.7,57.7,46.7,57.7,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.4,20170700000000.0,0.1,65036.0,65054,65052,65052,65054.0,20170700000000.0,20170700000000.0,56947.0,20170700000000.0,102.0,,,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,92.57,92.563,2017070000000000.0,92.56,20170700000000.0,20170700000000.0,2017070000000000.0
5815,5842,54,8.4,8.0,8.4,50.9,7.7,8.0,46.2,46.0,-0.1,54.0,46.0,54.1,46.0,54.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,-0.1,53.4,20170700000000.0,0.1,65009.0,65027,65025,65025,65027.0,,20170700000000.0,56920.0,20170700000000.0,100.95,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,92.64,92.527,2017070000000000.0,92.3,20170700000000.0,,2017070000000000.0
14343,14343,198,9.7,9.4,9.7,57.0,8.8,9.6,48.7,48.5,0.0,58.3,48.5,58.4,48.5,58.3,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.6,20170700000000.0,0.2,65010.0,65028,65026,65026,65028.0,20170700000000.0,20170700000000.0,56921.0,20170700000000.0,100.95,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,92.64,92.64,2017070000000000.0,92.64,20170700000000.0,20170700000000.0,2017070000000000.0
5052,5052,101,9.3,8.6,9.3,52.4,8.2,9.1,46.9,46.7,-0.1,57.5,46.7,57.6,46.7,57.5,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,,20170700000000.0,0.0,57.0,20170700000000.0,0.1,65011.0,65029,65027,65027,65029.0,20170700000000.0,20170700000000.0,56922.0,,101.0,,,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,92.55,92.493,2017070000000000.0,92.4,20170700000000.0,20170700000000.0,2017070000000000.0
5068,5068,101,8.9,8.4,8.9,52.7,7.6,8.8,46.9,46.8,-0.1,57.4,46.9,57.5,46.8,57.4,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,56.9,20170700000000.0,0.1,27346.0,27370,27369,27370,27370.0,20170700000000.0,20170700000000.0,20844.0,20170700000000.0,99.41,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.59,83.59,2017070000000000.0,83.59,20170700000000.0,20170700000000.0,2017070000000000.0
5832,5859,54,8.8,8.4,8.8,53.4,8.0,8.4,46.2,46.0,-0.1,54.1,46.1,54.1,46.1,54.1,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,-0.1,53.5,20170700000000.0,0.1,27347.0,27371,27370,27371,27371.0,20170700000000.0,20170700000000.0,20845.0,20170700000000.0,99.97,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.59,83.59,2017070000000000.0,83.59,20170700000000.0,20170700000000.0,2017070000000000.0
5060,5060,101,9.0,8.4,9.0,52.1,7.9,8.9,46.9,46.7,-0.1,57.4,46.8,57.4,46.8,57.4,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,56.9,20170700000000.0,0.1,27322.0,27346,27345,27346,27346.0,20170700000000.0,20170700000000.0,20820.0,20170700000000.0,98.97,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.6,83.593,2017070000000000.0,83.59,20170700000000.0,20170700000000.0,2017070000000000.0
5824,5851,54,8.3,8.0,8.3,50.6,7.7,8.1,46.3,46.1,-0.1,54.1,46.1,54.1,46.1,54.1,20170700000000.0,20170700000000.0,,20170700000000.0,20170700000000.0,20170700000000.0,-0.1,53.4,20170700000000.0,0.1,27323.0,27347,27346,27347,27347.0,,20170700000000.0,20821.0,20170700000000.0,99.6,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.59,83.59,2017070000000000.0,83.59,20170700000000.0,20170700000000.0,2017070000000000.0
14352,14352,198,10.0,9.5,10.0,54.8,8.9,10.1,48.8,48.5,0.0,58.3,48.5,58.3,48.5,58.3,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.6,20170700000000.0,0.2,27324.0,27348,27347,27348,27348.0,,20170700000000.0,20822.0,20170700000000.0,99.03,20170700000000.0,,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.57,83.57,2017070000000000.0,83.57,20170700000000.0,20170700000000.0,2017070000000000.0
5827,5854,54,8.2,7.8,8.2,51.8,7.4,8.1,46.2,46.1,-0.1,53.9,46.1,54.0,46.2,53.9,20170700000000.0,20170700000000.0,20170700000000.0,,20170700000000.0,20170700000000.0,-0.1,53.4,20170700000000.0,0.1,27332.0,27356,27355,27356,27356.0,20170700000000.0,20170700000000.0,20830.0,20170700000000.0,98.97,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.59,83.59,2017070000000000.0,83.59,20170700000000.0,20170700000000.0,2017070000000000.0
15342,15342,198,9.6,9.4,9.5,54.5,9.0,9.7,48.8,48.6,0.0,58.1,48.6,58.1,48.6,58.1,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.3,20170700000000.0,0.2,65745.0,65763,65761,65761,65763.0,20170700000000.0,20170700000000.0,57618.0,20170700000000.0,101.35,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,90.79,90.777,2017070000000000.0,90.77,20170700000000.0,20170700000000.0,2017070000000000.0
15334,15334,198,9.5,9.2,9.4,56.3,8.7,9.0,48.6,48.5,0.0,58.1,48.6,58.1,48.6,58.1,20170700000000.0,20170700000000.0,20170700000000.0,,20170700000000.0,20170700000000.0,0.0,58.0,20170700000000.0,0.2,65720.0,65738,65736,65736,65738.0,20170700000000.0,20170700000000.0,57593.0,20170700000000.0,101.3,20170700000000.0,20170700000000.0,20170700000000.0,,2017070000000000.0,20170700000000.0,90.63,90.623,2017070000000000.0,90.62,20170700000000.0,20170700000000.0,2017070000000000.0
6033,6033,101,8.5,8.0,7.9,50.4,7.1,8.1,46.8,46.7,0.0,57.5,46.7,57.5,46.7,57.5,20170700000000.0,20170700000000.0,,,20170700000000.0,20170700000000.0,0.0,57.2,20170700000000.0,0.1,65721.0,65739,65737,65737,65739.0,,20170700000000.0,57594.0,20170700000000.0,100.85,20170700000000.0,20170700000000.0,20170700000000.0,,2017070000000000.0,20170700000000.0,90.63,90.63,2017070000000000.0,90.63,20170700000000.0,20170700000000.0,2017070000000000.0
15338,15338,198,9.8,9.5,9.8,54.9,9.2,9.7,48.8,48.5,0.0,58.3,48.5,58.3,48.6,58.4,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.4,20170700000000.0,0.2,65732.0,65750,65748,65748,65750.0,20170700000000.0,20170700000000.0,57605.0,20170700000000.0,100.95,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,90.79,90.777,2017070000000000.0,90.77,20170700000000.0,20170700000000.0,2017070000000000.0
6037,6037,101,9.0,8.5,9.0,52.1,8.0,9.0,47.0,46.9,-0.1,57.3,46.9,57.3,46.9,57.3,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,56.9,20170700000000.0,0.1,65733.0,65751,65749,65749,65751.0,,20170700000000.0,57606.0,20170700000000.0,101.55,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,90.79,90.783,2017070000000000.0,90.77,20170700000000.0,20170700000000.0,2017070000000000.0
15340,15340,198,10.3,9.5,9.6,55.7,8.8,9.3,48.8,48.6,0.0,58.2,48.6,58.2,48.6,58.2,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.4,20170700000000.0,0.2,65738.0,65756,65754,65754,65756.0,20170700000000.0,20170700000000.0,57611.0,20170700000000.0,101.2,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,90.77,90.77,2017070000000000.0,90.77,20170700000000.0,20170700000000.0,2017070000000000.0
6039,6039,101,8.9,8.5,8.4,51.7,8.2,8.8,47.0,46.8,-0.1,57.3,46.8,57.4,46.9,57.3,20170700000000.0,20170700000000.0,20170700000000.0,,20170700000000.0,20170700000000.0,0.0,56.9,20170700000000.0,0.1,65739.0,65757,65755,65755,65757.0,20170700000000.0,20170700000000.0,57612.0,20170700000000.0,101.2,20170700000000.0,20170700000000.0,20170700000000.0,,2017070000000000.0,20170700000000.0,90.79,90.777,2017070000000000.0,90.77,20170700000000.0,20170700000000.0,2017070000000000.0
6741,6768,54,8.1,7.9,8.0,52.3,7.4,8.3,46.0,46.0,-0.1,54.0,46.0,54.0,46.0,54.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,-0.1,53.6,20170700000000.0,0.1,65743.0,65761,65759,65759,65761.0,,20170700000000.0,57616.0,20170700000000.0,100.85,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,90.79,90.777,2017070000000000.0,90.77,20170700000000.0,20170700000000.0,2017070000000000.0
14360,14360,198,9.8,9.6,9.8,57.7,9.2,9.8,48.7,48.5,0.0,58.4,48.5,58.4,48.5,58.4,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.6,20170700000000.0,0.2,65178.0,65196,65194,65194,65196.0,20170700000000.0,,57074.0,20170700000000.0,102.0,20170700000000.0,,,20170700000000.0,2017070000000000.0,20170700000000.0,92.66,92.557,2017070000000000.0,92.35,20170700000000.0,20170700000000.0,2017070000000000.0
5069,5069,101,9.1,8.6,8.5,52.9,8.0,9.0,46.9,46.8,-0.1,57.5,46.8,57.5,46.8,57.4,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,56.9,20170700000000.0,0.1,65179.0,65197,65195,65195,65197.0,20170700000000.0,,57075.0,20170700000000.0,101.95,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,92.68,92.68,2017070000000000.0,92.68,20170700000000.0,20170700000000.0,2017070000000000.0
5751,5778,54,8.7,8.4,8.7,51.5,7.8,8.7,46.3,46.2,-0.1,53.9,46.2,53.9,46.2,53.9,20170700000000.0,20170700000000.0,20170700000000.0,,20170700000000.0,20170700000000.0,0.0,53.4,20170700000000.0,0.1,65280.0,65298,65296,65296,65298.0,20170700000000.0,,57175.0,20170700000000.0,98.84,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.55,83.55,2017070000000000.0,83.55,20170700000000.0,,2017070000000000.0
5743,5770,54,8.0,7.8,7.9,50.2,7.4,8.4,46.3,46.2,-0.1,54.2,46.2,54.2,46.2,54.2,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,-0.1,53.5,20170700000000.0,0.1,65256.0,65274,65272,65272,65274.0,20170700000000.0,20170700000000.0,57151.0,20170700000000.0,98.94,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.49,83.453,2017070000000000.0,83.38,20170700000000.0,20170700000000.0,2017070000000000.0
14156,14156,198,10.2,9.6,10.2,55.1,8.7,9.9,48.7,48.5,0.0,58.5,48.5,58.5,48.6,58.5,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.8,20170700000000.0,0.2,65257.0,65275,65273,65273,65275.0,20170700000000.0,20170700000000.0,57152.0,20170700000000.0,98.89,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.49,83.453,2017070000000000.0,83.38,20170700000000.0,20170700000000.0,2017070000000000.0
14159,14159,198,10.2,9.5,9.8,57.5,9.0,9.5,48.7,48.5,0.0,58.6,48.5,58.6,48.5,58.6,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.7,20170700000000.0,0.2,65266.0,65284,65282,65282,65284.0,20170700000000.0,20170700000000.0,57161.0,20170700000000.0,98.88,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.62,83.59,2017070000000000.0,83.53,20170700000000.0,20170700000000.0,2017070000000000.0
5085,5085,101,9.0,8.6,9.0,51.5,7.9,8.7,46.9,46.7,0.0,57.4,46.8,57.5,46.7,57.5,20170700000000.0,20170700000000.0,20170700000000.0,,20170700000000.0,20170700000000.0,0.0,56.9,20170700000000.0,0.1,65507.0,65525,65523,65523,65525.0,20170700000000.0,20170700000000.0,57383.0,20170700000000.0,101.6,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.47,83.463,2017070000000000.0,83.46,20170700000000.0,20170700000000.0,2017070000000000.0
5849,5876,54,8.2,8.1,8.2,50.9,7.6,7.9,46.2,46.1,-0.1,54.0,46.1,54.1,46.1,54.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,-0.1,53.4,20170700000000.0,0.1,65508.0,65526,65524,65524,65526.0,20170700000000.0,20170700000000.0,57384.0,20170700000000.0,101.6,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.46,83.46,2017070000000000.0,83.46,20170700000000.0,20170700000000.0,2017070000000000.0
5077,5077,101,8.4,8.2,8.2,50.9,7.5,8.3,46.8,46.7,0.0,57.6,46.7,57.6,46.7,57.5,20170700000000.0,20170700000000.0,20170700000000.0,,20170700000000.0,,0.0,57.3,20170700000000.0,0.1,65483.0,65501,65499,65499,65501.0,20170700000000.0,20170700000000.0,57359.0,20170700000000.0,101.7,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.6,83.6,2017070000000000.0,83.6,20170700000000.0,20170700000000.0,2017070000000000.0
5841,5868,54,8.2,7.9,8.2,50.6,7.5,8.3,45.9,45.9,-0.1,53.9,45.9,53.9,45.9,53.9,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,-0.1,53.6,20170700000000.0,0.1,65484.0,65502,65500,65500,65502.0,20170700000000.0,20170700000000.0,57360.0,20170700000000.0,101.7,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.61,83.607,2017070000000000.0,83.6,20170700000000.0,,2017070000000000.0
14372,14372,198,9.8,9.5,9.8,54.0,8.9,10.0,48.7,48.5,0.0,58.3,48.6,58.3,48.5,58.3,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.6,20170700000000.0,0.2,65494.0,65512,65510,65510,65512.0,20170700000000.0,20170700000000.0,57370.0,20170700000000.0,101.7,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.46,83.453,2017070000000000.0,83.44,,20170700000000.0,2017070000000000.0
14385,14385,198,10.1,9.5,10.1,54.6,9.1,9.8,48.7,48.5,0.0,58.2,48.5,58.3,48.5,58.3,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.5,20170700000000.0,0.2,65085.0,65103,65101,65101,65103.0,20170700000000.0,20170700000000.0,56996.0,20170700000000.0,102.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.95,83.903,2017070000000000.0,83.82,20170700000000.0,20170700000000.0,2017070000000000.0
5094,5094,101,9.2,8.6,9.2,52.3,8.2,8.8,46.9,46.7,-0.1,57.3,46.7,57.4,46.8,57.4,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,56.9,20170700000000.0,0.1,65086.0,65104,65102,65102,65104.0,20170700000000.0,20170700000000.0,56997.0,20170700000000.0,102.05,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.95,83.907,2017070000000000.0,83.82,20170700000000.0,20170700000000.0,2017070000000000.0
